time,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,-2.43207e-05,-4.03051e-05,-2.43207e-05,-4.03051e-05,2.43207e-05,-4.03051e-05,-2.43207e-05,-4.03051e-05,2.43207e-05,-4.03051e-05,2.43207e-05,-4.03051e-05,-2.43207e-05,4.03051e-05,-2.43207e-05,4.03051e-05,2.43207e-05,4.03051e-05,-2.43207e-05,4.03051e-05,2.43207e-05,4.03051e-05,2.43207e-05,4.03051e-05
0.002,-2.43086e-05,-4.0285e-05,-2.43086e-05,-4.0285e-05,2.43086e-05,-4.0285e-05,-2.43086e-05,-4.0285e-05,2.43086e-05,-4.0285e-05,2.43086e-05,-4.0285e-05,-2.43086e-05,4.0285e-05,-2.43086e-05,4.0285e-05,2.43086e-05,4.0285e-05,-2.43086e-05,4.0285e-05,2.43086e-05,4.0285e-05,2.43086e-05,4.0285e-05
0.003,2.43571e-05,4.03655e-05,2.43571e-05,4.03655e-05,-2.43571e-05,4.03655e-05,2.43571e-05,4.03655e-05,-2.43571e-05,4.03655e-05,-2.43571e-05,4.03655e-05,2.43571e-05,-4.03655e-05,2.43571e-05,-4.03655e-05,-2.43571e-05,-4.03655e-05,2.43571e-05,-4.03655e-05,-2.43571e-05,-4.03655e-05,-2.43571e-05,-4.03655e-05
0.004,2.43571e-05,4.03654e-05,2.43571e-05,4.03654e-05,-2.43571e-05,4.03654e-05,2.43571e-05,4.03654e-05,-2.43571e-05,4.03654e-05,-2.43571e-05,4.03654e-05,2.43571e-05,-4.03654e-05,2.43571e-05,-4.03654e-05,-2.43571e-05,-4.03654e-05,2.43571e-05,-4.03654e-05,-2.43571e-05,-4.03654e-05,-2.43571e-05,-4.03654e-05
0.005,-2.43087e-05,-4.02852e-05,-2.43087e-05,-4.02852e-05,2.43087e-05,-4.02852e-05,-2.43087e-05,-4.02852e-05,2.43087e-05,-4.02852e-05,2.43087e-05,-4.02852e-05,-2.43087e-05,4.02852e-05,-2.43087e-05,4.02852e-05,2.43087e-05,4.02852e-05,-2.43087e-05,4.02852e-05,2.43087e-05,4.02852e-05,2.43087e-05,4.02852e-05
0.006,-2.43087e-05,-4.02852e-05,-2.43087e-05,-4.02852e-05,2.43087e-05,-4.02852e-05,-2.43087e-05,-4.02852e-05,2.43087e-05,-4.02852e-05,2.43087e-05,-4.02852e-05,-2.43087e-05,4.02852e-05,-2.43087e-05,4.02852e-05,2.43087e-05,4.02852e-05,-2.43087e-05,4.02852e-05,2.43087e-05,4.02852e-05,2.43087e-05,4.02852e-05
0.007,2.4357e-05,4.03652e-05,2.4357e-05,4.03652e-05,-2.4357e-05,4.03652e-05,2.4357e-05,4.03652e-05,-2.4357e-05,4.03652e-05,-2.4357e-05,4.03652e-05,2.4357e-05,-4.03652e-05,2.4357e-05,-4.03652e-05,-2.4357e-05,-4.03652e-05,2.4357e-05,-4.03652e-05,-2.4357e-05,-4.03652e-05,-2.4357e-05,-4.03652e-05
0.008,2.43569e-05,4.03652e-05,2.43569e-05,4.03652e-05,-2.4357e-05,4.03652e-05,2.43569e-05,4.03652e-05,-2.43569e-05,4.03652e-05,-2.43569e-05,4.03652e-05,2.43569e-05,-4.03652e-05,2.43569e-05,-4.03652e-05,-2.43569e-05,-4.03652e-05,2.4357e-05,-4.03652e-05,-2.43569e-05,-4.03652e-05,-2.43569e-05,-4.03652e-05
0.009,-2.43088e-05,-4.02854e-05,-2.43088e-05,-4.02854e-05,2.43088e-05,-4.02854e-05,-2.43088e-05,-4.02854e-05,2.43089e-05,-4.02854e-05,2.43089e-05,-4.02854e-05,-2.43089e-05,4.02854e-05,-2.43089e-05,4.02854e-05,2.43088e-05,4.02854e-05,-2.43088e-05,4.02854e-05,2.43088e-05,4.02854e-05,2.43088e-05,4.02854e-05
0.01,-2.43089e-05,-4.02855e-05,-2.43089e-05,-4.02855e-05,2.43089e-05,-4.02855e-05,-2.43089e-05,-4.02855e-05,2.43089e-05,-4.02855e-05,2.43089e-05,-4.02855e-05,-2.43089e-05,4.02855e-05,-2.43089e-05,4.02855e-05,2.43089e-05,4.02855e-05,-2.43089e-05,4.02855e-05,2.43089e-05,4.02855e-05,2.43089e-05,4.02855e-05
0.011,2.43568e-05,4.0365e-05,2.43568e-05,4.0365e-05,-2.43568e-05,4.0365e-05,2.43568e-05,4.0365e-05,-2.43568e-05,4.0365e-05,-2.43568e-05,4.0365e-05,2.43568e-05,-4.0365e-05,2.43568e-05,-4.0365e-05,-2.43568e-05,-4.0365e-05,2.43568e-05,-4.0365e-05,-2.43568e-05,-4.0365e-05,-2.43568e-05,-4.0365e-05
0.012,2.43568e-05,4.03649e-05,2.43568e-05,4.03649e-05,-2.43568e-05,4.03649e-05,2.43568e-05,4.03649e-05,-2.43568e-05,4.03649e-05,-2.43568e-05,4.03649e-05,2.43568e-05,-4.03649e-05,2.43568e-05,-4.03649e-05,-2.43568e-05,-4.03649e-05,2.43568e-05,-4.03649e-05,-2.43568e-05,-4.03649e-05,-2.43568e-05,-4.03649e-05
0.013,-2.4309e-05,-4.02857e-05,-2.4309e-05,-4.02857e-05,2.4309e-05,-4.02857e-05,-2.4309e-05,-4.02857e-05,2.4309e-05,-4.02857e-05,2.4309e-05,-4.02857e-05,-2.4309e-05,4.02857e-05,-2.4309e-05,4.02857e-05,2.4309e-05,4.02857e-05,-2.4309e-05,4.02857e-05,2.4309e-05,4.02857e-05,2.4309e-05,4.02857e-05
0.014,-2.4309e-05,-4.02857e-05,-2.4309e-05,-4.02858e-05,2.4309e-05,-4.02857e-05,-2.4309e-05,-4.02857e-05,2.43091e-05,-4.02858e-05,2.43091e-05,-4.02857e-05,-2.43091e-05,4.02857e-05,-2.43091e-05,4.02858e-05,2.4309e-05,4.02857e-05,-2.4309e-05,4.02857e-05,2.4309e-05,4.02858e-05,2.4309e-05,4.02857e-05
