time,x,y,x,y,x,y,x,y,x,y,x,y
0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,-0.243207,-0.477646,-0.243207,-0.477646,0.243207,-0.477646,-0.243207,0.477646,0.243207,0.477646,0.243207,0.477646
0.002,0.243329,-0.477408,0.243329,-0.477408,-0.243329,-0.477408,0.243329,0.477408,-0.243329,0.477408,-0.243329,0.477408
0.003,0.243329,-0.476931,0.243329,-0.47693,-0.243329,-0.47693,0.243329,0.47693,-0.243329,0.47693,-0.243329,0.476931
0.004,-0.243329,-0.476454,-0.243329,-0.476454,0.243329,-0.476454,-0.243329,0.476454,0.243329,0.476454,0.243329,0.476454
0.005,-0.243329,-0.475978,-0.243329,-0.475978,0.243329,-0.475978,-0.243329,0.475978,0.243329,0.475978,0.243329,0.475978
0.006,0.243328,-0.475503,0.243328,-0.475503,-0.243328,-0.475503,0.243328,0.475503,-0.243328,0.475503,-0.243328,0.475503
0.007,0.243328,-0.475028,0.243328,-0.475028,-0.243328,-0.475028,0.243328,0.475028,-0.243328,0.475028,-0.243328,0.475028
0.008,-0.243329,-0.474554,-0.243329,-0.474554,0.243329,-0.474554,-0.243329,0.474554,0.243329,0.474554,0.243329,0.474554
0.009,-0.243328,-0.47408,-0.243328,-0.47408,0.243328,-0.47408,-0.243328,0.47408,0.243328,0.47408,0.243328,0.47408
0.01,0.243328,-0.473608,0.243328,-0.473608,-0.243328,-0.473608,0.243328,0.473608,-0.243328,0.473608,-0.243328,0.473608
0.011,0.243328,-0.473136,0.243328,-0.473136,-0.243328,-0.473136,0.243328,0.473136,-0.243328,0.473136,-0.243328,0.473136
0.012,-0.243328,-0.472664,-0.243328,-0.472664,0.243328,-0.472664,-0.243328,0.472664,0.243328,0.472664,0.243328,0.472664
0.013,-0.243328,-0.472193,-0.243328,-0.472193,0.243328,-0.472193,-0.243328,0.472193,0.243328,0.472193,0.243328,0.472193
0.014,0.243328,-0.471723,0.243328,-0.471723,-0.243328,-0.471723,0.243328,0.471723,-0.243328,0.471723,-0.243328,0.471723
0.015,0.243327,-0.471254,0.243327,-0.471254,-0.243327,-0.471254,0.243327,0.471254,-0.243327,0.471254,-0.243327,0.471254
0.016,-0.243327,-0.470785,-0.243327,-0.470785,0.243327,-0.470785,-0.243327,0.470785,0.243327,0.470785,0.243327,0.470785
0.017,-0.243327,-0.470317,-0.243327,-0.470317,0.243327,-0.470317,-0.243327,0.470317,0.243327,0.470317,0.243327,0.470317
0.018,0.243327,-0.469849,0.243327,-0.469849,-0.243327,-0.469849,0.243327,0.469849,-0.243327,0.469849,-0.243327,0.469849
0.019,0.243327,-0.469382,0.243327,-0.469382,-0.243327,-0.469382,0.243327,0.469382,-0.243327,0.469382,-0.243327,0.469382
0.02,-0.243327,-0.468916,-0.243327,-0.468916,0.243327,-0.468916,-0.243327,0.468916,0.243327,0.468916,0.243327,0.468916
0.021,-0.243326,-0.46845,-0.243326,-0.46845,0.243326,-0.46845,-0.243326,0.46845,0.243326,0.46845,0.243326,0.46845
0.022,0.243326,-0.467985,0.243326,-0.467985,-0.243326,-0.467985,0.243326,0.467985,-0.243326,0.467985,-0.243326,0.467985
0.023,0.243326,-0.467521,0.243326,-0.467521,-0.243326,-0.467521,0.243326,0.467521,-0.243326,0.467521,-0.243326,0.467521
0.024,-0.243326,-0.467057,-0.243326,-0.467057,0.243326,-0.467057,-0.243326,0.467057,0.243326,0.467057,0.243326,0.467057
0.025,-0.243325,-0.466594,-0.243325,-0.466594,0.243325,-0.466594,-0.243325,0.466594,0.243325,0.466594,0.243325,0.466594
0.026,0.243325,-0.466131,0.243325,-0.466131,-0.243325,-0.466131,0.243325,0.466131,-0.243325,0.466131,-0.243325,0.466131
0.027,0.243325,-0.46567,0.243325,-0.46567,-0.243325,-0.46567,0.243325,0.46567,-0.243325,0.46567,-0.243325,0.46567
0.028,-0.243325,-0.465208,-0.243325,-0.465208,0.243325,-0.465208,-0.243325,0.465208,0.243325,0.465208,0.243325,0.465208
0.029,-0.243324,-0.464748,-0.243324,-0.464748,0.243324,-0.464748,-0.243324,0.464748,0.243324,0.464748,0.243324,0.464748
0.03,0.243324,-0.464288,0.243324,-0.464288,-0.243324,-0.464288,0.243324,0.464288,-0.243324,0.464288,-0.243324,0.464288
0.031,0.243323,-0.463829,0.243323,-0.463829,-0.243323,-0.463829,0.243323,0.463829,-0.243323,0.463829,-0.243323,0.463829
0.032,-0.243323,-0.46337,-0.243323,-0.46337,0.243323,-0.46337,-0.243323,0.46337,0.243323,0.46337,0.243323,0.46337
0.033,-0.243323,-0.462912,-0.243323,-0.462912,0.243323,-0.462912,-0.243323,0.462912,0.243323,0.462912,0.243323,0.462912
0.034,0.243322,-0.462454,0.243322,-0.462454,-0.243322,-0.462454,0.243322,0.462454,-0.243322,0.462454,-0.243322,0.462454
0.035,0.243322,-0.461998,0.243322,-0.461998,-0.243322,-0.461998,0.243322,0.461998,-0.243322,0.461998,-0.243322,0.461998
0.036,-0.243322,-0.461541,-0.243322,-0.461541,0.243322,-0.461541,-0.243322,0.461541,0.243322,0.461541,0.243322,0.461541
0.037,-0.243321,-0.461086,-0.243321,-0.461086,0.243321,-0.461086,-0.243321,0.461086,0.243321,0.461086,0.243321,0.461086
0.038,0.24332,-0.460631,0.24332,-0.460631,-0.24332,-0.460631,0.24332,0.460631,-0.24332,0.460631,-0.24332,0.460631
0.039,0.24332,-0.460177,0.24332,-0.460177,-0.24332,-0.460177,0.24332,0.460177,-0.24332,0.460177,-0.24332,0.460177
0.04,-0.24332,-0.459723,-0.24332,-0.459723,0.24332,-0.459723,-0.24332,0.459723,0.24332,0.459723,0.24332,0.459723
0.041,-0.243319,-0.45927,-0.243319,-0.45927,0.243319,-0.45927,-0.243319,0.45927,0.243319,0.45927,0.243319,0.45927
0.042,0.243319,-0.458818,0.243319,-0.458818,-0.243319,-0.458818,0.243319,0.458818,-0.243319,0.458818,-0.243319,0.458818
0.043,0.243318,-0.458366,0.243318,-0.458366,-0.243318,-0.458366,0.243318,0.458366,-0.243318,0.458366,-0.243318,0.458366
0.044,-0.243318,-0.457915,-0.243318,-0.457915,0.243318,-0.457915,-0.243318,0.457915,0.243318,0.457915,0.243318,0.457915
0.045,-0.243318,-0.457464,-0.243318,-0.457464,0.243318,-0.457464,-0.243318,0.457464,0.243318,0.457464,0.243318,0.457464
0.046,0.243317,-0.457014,0.243317,-0.457014,-0.243317,-0.457014,0.243317,0.457014,-0.243317,0.457014,-0.243317,0.457014
0.047,0.243316,-0.456565,0.243316,-0.456565,-0.243316,-0.456565,0.243316,0.456565,-0.243316,0.456565,-0.243316,0.456565
0.048,-0.243316,-0.456116,-0.243316,-0.456116,0.243316,-0.456116,-0.243316,0.456116,0.243316,0.456116,0.243316,0.456116
0.049,-0.243315,-0.455668,-0.243315,-0.455668,0.243315,-0.455668,-0.243315,0.455668,0.243315,0.455668,0.243315,0.455668
0.05,0.243315,-0.455221,0.243315,-0.455221,-0.243315,-0.455221,0.243315,0.455221,-0.243315,0.455221,-0.243315,0.455221
0.051,0.243314,-0.454774,0.243314,-0.454774,-0.243314,-0.454774,0.243314,0.454774,-0.243314,0.454774,-0.243314,0.454774
0.052,-0.243314,-0.454328,-0.243314,-0.454328,0.243314,-0.454328,-0.243314,0.454328,0.243314,0.454328,0.243314,0.454328
0.053,-0.243313,-0.453882,-0.243313,-0.453882,0.243313,-0.453882,-0.243313,0.453882,0.243313,0.453882,0.243313,0.453882
