time,x,y,x,y,x,y,x,y,x,y,x,y
0,0.0625,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.32476,0.4375,0.32476,0.6875,0.32476
0.001,0.0625,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.32476,0.4375,0.32476,0.6875,0.32476
0.002,0.0625,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.32476,0.4375,0.32476,0.6875,0.32476
0.003,0.0625,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.32476,0.4375,0.32476,0.6875,0.32476
0.004,0.0625,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.32476,0.4375,0.32476,0.6875,0.32476
0.005,0.0625,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.32476,0.4375,0.32476,0.6875,0.32476
0.006,0.0625,0.108252,0.3125,0.108252,0.5625,0.108252,0.1875,0.32476,0.4375,0.32476,0.6875,0.32476
0.007,0.0625,0.108252,0.3125,0.108252,0.5625,0.108252,0.1875,0.324761,0.4375,0.324761,0.6875,0.324761
0.008,0.0625,0.108252,0.3125,0.108252,0.5625,0.108252,0.1875,0.324761,0.4375,0.324761,0.6875,0.324761
0.009,0.0625,0.108251,0.3125,0.108251,0.5625,0.108251,0.1875,0.324761,0.4375,0.324761,0.6875,0.324761
0.01,0.0625,0.108251,0.3125,0.108251,0.5625,0.108251,0.1875,0.324762,0.4375,0.324762,0.6875,0.324762
0.011,0.0625,0.108251,0.3125,0.108251,0.5625,0.108251,0.1875,0.324762,0.4375,0.324762,0.6875,0.324762
0.012,0.0625,0.10825,0.3125,0.10825,0.5625,0.10825,0.1875,0.324763,0.4375,0.324763,0.6875,0.324763
0.013,0.0625,0.108249,0.3125,0.108249,0.5625,0.108249,0.1875,0.324763,0.4375,0.324763,0.6875,0.324763
0.014,0.0625,0.108249,0.3125,0.108249,0.5625,0.108249,0.1875,0.324764,0.4375,0.324764,0.6875,0.324764
0.015,0.0625,0.108248,0.3125,0.108248,0.5625,0.108248,0.1875,0.324765,0.4375,0.324765,0.6875,0.324765
0.016,0.0625,0.108247,0.3125,0.108247,0.5625,0.108247,0.1875,0.324765,0.4375,0.324765,0.6875,0.324765
0.017,0.0625,0.108247,0.3125,0.108247,0.5625,0.108247,0.1875,0.324766,0.4375,0.324766,0.6875,0.324766
0.018,0.0625,0.108246,0.3125,0.108246,0.5625,0.108246,0.1875,0.324767,0.4375,0.324767,0.6875,0.324767
0.019,0.0625,0.108245,0.3125,0.108245,0.5625,0.108245,0.1875,0.324768,0.4375,0.324768,0.6875,0.324768
0.02,0.0625,0.108244,0.3125,0.108244,0.5625,0.108244,0.1875,0.324769,0.4375,0.324769,0.6875,0.324769
0.021,0.0625,0.108243,0.3125,0.108243,0.5625,0.108243,0.1875,0.324769,0.4375,0.324769,0.6875,0.324769
0.022,0.0625,0.108242,0.3125,0.108242,0.5625,0.108242,0.1875,0.32477,0.4375,0.32477,0.6875,0.32477
0.023,0.0625,0.108241,0.3125,0.108241,0.5625,0.108241,0.1875,0.324772,0.4375,0.324772,0.6875,0.324772
0.024,0.0625,0.10824,0.3125,0.10824,0.5625,0.10824,0.1875,0.324773,0.4375,0.324773,0.6875,0.324773
0.025,0.0625,0.108239,0.3125,0.108239,0.5625,0.108239,0.1875,0.324774,0.4375,0.324774,0.6875,0.324774
0.026,0.0625,0.108238,0.3125,0.108238,0.5625,0.108238,0.1875,0.324775,0.4375,0.324775,0.6875,0.324775
0.027,0.0625,0.108237,0.3125,0.108237,0.5625,0.108237,0.1875,0.324776,0.4375,0.324776,0.6875,0.324776
0.028,0.0625,0.108235,0.3125,0.108235,0.5625,0.108235,0.1875,0.324777,0.4375,0.324777,0.6875,0.324777
0.029,0.0625,0.108234,0.3125,0.108234,0.5625,0.108234,0.1875,0.324779,0.4375,0.324779,0.6875,0.324779
0.03,0.0625,0.108233,0.3125,0.108233,0.5625,0.108233,0.1875,0.32478,0.4375,0.32478,0.6875,0.32478
0.031,0.0625,0.108231,0.3125,0.108231,0.5625,0.108231,0.1875,0.324782,0.4375,0.324782,0.6875,0.324782
0.032,0.0625,0.10823,0.3125,0.10823,0.5625,0.10823,0.1875,0.324783,0.4375,0.324783,0.6875,0.324783
0.033,0.0625,0.108228,0.3125,0.108228,0.5625,0.108228,0.1875,0.324784,0.4375,0.324784,0.6875,0.324784
0.034,0.0625,0.108227,0.3125,0.108227,0.5625,0.108227,0.1875,0.324786,0.4375,0.324786,0.6875,0.324786
0.035,0.0625,0.108225,0.3125,0.108225,0.5625,0.108225,0.1875,0.324788,0.4375,0.324788,0.6875,0.324788
