x,y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
time,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0.000124352,-0.000253704,0.000247519,-0.000132986,-0.000209082,0.000153566,0.000195238,-1.37405e-05,6.06662e-05,0.000180363,-0.000212641,0.000242788,-0.000241406,0.00017166,-4.96307e-05,1.54131e-05,-0.000159485,-4.15443e-05,0.000200449,-0.000121385,2.26456e-05,-1.06489e-05,2.13745e-05,-0.000189782
0.002,0.000373057,-0.000761115,0.000742559,-0.000398958,-0.000627247,0.0004607,0.000585714,-4.12213e-05,0.000181999,0.000541092,-0.000637924,0.000728365,-0.00072422,0.00051498,-0.000148893,4.62393e-05,-0.000478455,-0.000124633,0.000601349,-0.000364155,6.79371e-05,-3.19469e-05,6.41237e-05,-0.000569347
0.003,0.000621764,-0.00126853,0.0012376,-0.000664932,-0.00104542,0.000767836,0.000976195,-6.87016e-05,0.000303333,0.000901824,-0.00106321,0.00121395,-0.00120704,0.000858304,-0.000248156,7.70656e-05,-0.000797429,-0.000207723,0.00100225,-0.000606928,0.000113229,-5.32456e-05,0.000106873,-0.000948916
0.004,0.000870476,-0.00177596,0.00173266,-0.00093091,-0.00146359,0.00107498,0.00136668,-9.61811e-05,0.000424669,0.00126256,-0.00148851,0.00169954,-0.00168987,0.00120163,-0.000347421,0.000107892,-0.00111641,-0.000290813,0.00140317,-0.000849706,0.000158523,-7.45457e-05,0.000149624,-0.00132849
0.005,0.00111919,-0.0022834,0.00222773,-0.00119689,-0.00188178,0.00138212,0.00175718,-0.000123659,0.000546008,0.00162331,-0.00191381,0.00218515,-0.00217271,0.00154497,-0.00044669,0.000138719,-0.0014354,-0.000373905,0.00180409,-0.00109249,0.000203818,-9.58475e-05,0.000192376,-0.00170807
0.006,0.00136792,-0.00279085,0.00272281,-0.00146289,-0.00229997,0.00168927,0.00214769,-0.000151136,0.00066735,0.00198407,-0.00233914,0.00267077,-0.00265556,0.00188832,-0.000545963,0.000169545,-0.0017544,-0.000456998,0.00220502,-0.00133528,0.000249115,-0.000117152,0.00023513,-0.00208767
0.007,0.00161666,-0.00329833,0.00321791,-0.00172889,-0.00271818,0.00199643,0.00253821,-0.000178611,0.000788697,0.00234485,-0.00276447,0.00315641,-0.00313844,0.00223168,-0.000645241,0.000200373,-0.00207341,-0.000540093,0.00260598,-0.00157808,0.000294415,-0.000138458,0.000277887,-0.00246728
0.008,0.0018654,-0.00380583,0.00371303,-0.0019949,-0.00313641,0.0023036,0.00292875,-0.000206084,0.000910049,0.00270564,-0.00318983,0.00364208,-0.00362133,0.00257505,-0.000744526,0.0002312,-0.00239245,-0.000623191,0.00300695,-0.00182089,0.000339719,-0.000159769,0.000320645,-0.00284691
0.009,0.00211417,-0.00431337,0.00420818,-0.00226092,-0.00355466,0.00261078,0.00331931,-0.000233554,0.00103141,0.00306645,-0.00361521,0.00412777,-0.00410426,0.00291844,-0.000843817,0.000262028,-0.0027115,-0.000706292,0.00340794,-0.00206372,0.000385026,-0.000181082,0.000363407,-0.00322655
0.01,0.00236294,-0.00482093,0.00470336,-0.00252695,-0.00397293,0.00291798,0.0037099,-0.000261022,0.00115277,0.00342729,-0.00404062,0.0046135,-0.00458721,0.00326185,-0.000943116,0.000292856,-0.00303057,-0.000789396,0.00380897,-0.00230656,0.000430337,-0.000202401,0.000406172,-0.00360622
0.011,0.00261174,-0.00532853,0.00519857,-0.002793,-0.00439122,0.00322519,0.00410051,-0.000288486,0.00127414,0.00378815,-0.00446606,0.00509926,-0.00507019,0.00360528,-0.00104242,0.000323684,-0.00334966,-0.000872503,0.00421002,-0.00254941,0.000475653,-0.000223724,0.000448941,-0.00398591
0.012,0.00286055,-0.00583617,0.00569382,-0.00305907,-0.00480954,0.00353241,0.00449115,-0.000315947,0.00139552,0.00414904,-0.00489153,0.00558506,-0.00555322,0.00394874,-0.00114174,0.000354514,-0.00366879,-0.000955614,0.0046111,-0.00279229,0.000520974,-0.000245052,0.000491715,-0.00436563
0.013,0.00310938,-0.00634385,0.0061891,-0.00332516,-0.00522789,0.00383966,0.00488181,-0.000343404,0.00151691,0.00450996,-0.00531704,0.0060709,-0.00603628,0.00429222,-0.00124107,0.000385343,-0.00398794,-0.00103873,0.00501221,-0.00303518,0.000566301,-0.000266386,0.000534492,-0.00474537
0.014,0.00335824,-0.00685158,0.00668443,-0.00359126,-0.00564627,0.00414692,0.00527252,-0.000370856,0.00163831,0.00487092,-0.00574259,0.00655679,-0.00651938,0.00463573,-0.00134041,0.000416174,-0.00430712,-0.00112185,0.00541337,-0.0032781,0.000611634,-0.000287727,0.000577275,-0.00512515
0.015,0.00360712,-0.00735937,0.00717981,-0.00385739,-0.00606469,0.0044542,0.00566325,-0.000398304,0.00175972,0.00523191,-0.00616818,0.00704273,-0.00700253,0.00497927,-0.00143976,0.000447005,-0.00462634,-0.00120498,0.00581456,-0.00352104,0.000656974,-0.000309074,0.000620063,-0.00550497
0.016,0.00385602,-0.00786721,0.00767524,-0.00412354,-0.00648315,0.0047615,0.00605403,-0.000425748,0.00188114,0.00559294,-0.00659381,0.00752873,-0.00748573,0.00532284,-0.00153913,0.000477836,-0.00494559,-0.00128811,0.0062158,-0.003764,0.000702321,-0.000330429,0.000662857,-0.00588482
0.017,0.00410496,-0.0083751,0.00817072,-0.00438971,-0.00690164,0.00506883,0.00644485,-0.000453186,0.00200258,0.00595402,-0.0070195,0.00801478,-0.00796899,0.00566644,-0.00163851,0.000508669,-0.00526489,-0.00137124,0.00661709,-0.00400699,0.000747676,-0.000351791,0.000705658,-0.00626471
0.018,0.00435392,-0.00888306,0.00866626,-0.00465591,-0.00732018,0.00537618,0.00683571,-0.000480618,0.00212402,0.00631513,-0.00744523,0.00850089,-0.0084523,0.00601009,-0.0017379,0.000539502,-0.00558422,-0.00145439,0.00701842,-0.00425001,0.000793039,-0.000373162,0.000748464,-0.00664464
0.019,0.00460291,-0.00939109,0.00916185,-0.00492214,-0.00773876,0.00568356,0.00722662,-0.000508045,0.00224548,0.0066763,-0.00787102,0.00898707,-0.00893567,0.00635377,-0.00183732,0.000570336,-0.0059036,-0.00153754,0.00741981,-0.00449306,0.00083841,-0.000394541,0.000791278,-0.00702462
0.02,0.00485194,-0.00989919,0.00965752,-0.0051884,-0.00815739,0.00599097,0.00761758,-0.000535466,0.00236696,0.00703751,-0.00829687,0.00947332,-0.00941911,0.00669749,-0.00193675,0.000601171,-0.00622303,-0.00162069,0.00782126,-0.00473615,0.000883791,-0.00041593,0.0008341,-0.00740464
