time,x,y,x,y
0,0,0,0.1,0
0.001,0,0,0.1,0
0.002,0.75,0,0.1,0
0.003,0.75,0,0.1,0
0.004,0.749999,0,0.100001,0
0.005,0.749999,0,0.100001,0
0.006,0.749999,0,0.100001,0
0.007,0.749998,0,0.100002,0
0.008,0.749997,0,0.100003,0
0.009,0.749997,0,0.100003,0
0.01,0.749996,0,0.100004,0
0.011,0.749995,0,0.100005,0
0.012,0.749994,0,0.100006,0
0.013,0.749993,0,0.100007,0
0.014,0.749992,0,0.100008,0
0.015,0.74999,0,0.10001,0
0.016,0.749989,0,0.100011,0
0.017,0.749988,0,0.100012,0
0.018,0.749986,0,0.100014,0
0.019,0.749985,0,0.100015,0
0.02,0.749983,0,0.100017,0
0.021,0.749981,0,0.100019,0
0.022,0.749979,0,0.100021,0
0.023,0.749977,0,0.100023,0
0.024,0.749975,0,0.100025,0
0.025,0.749973,0,0.100027,0
0.026,0.749971,0,0.100029,0
0.027,0.749968,0,0.100032,0
0.028,0.749966,0,0.100034,0
0.029,0.749963,0,0.100037,0
0.03,0.749961,0,0.100039,0
0.031,0.749958,0,0.100042,0
0.032,0.749955,0,0.100045,0
0.033,0.749952,0,0.100048,0
0.034,0.749949,0,0.100051,0
0.035,0.749946,0,0.100054,0
0.036,0.749943,0,0.100057,0
0.037,0.74994,0,0.10006,0
0.038,0.749936,0,0.100064,0
0.039,0.749933,0,0.100067,0
0.04,0.749929,0,0.100071,0
0.041,0.749926,0,0.100074,0
0.042,0.749922,0,0.100078,0
0.043,0.749918,0,0.100082,0
0.044,0.749914,0,0.100086,0
0.045,0.74991,0,0.10009,0
0.046,0.749906,0,0.100094,0
0.047,0.749902,0,0.100098,0
0.048,0.749898,0,0.100102,0
0.049,0.749894,0,0.100106,0
0.05,0.749889,0,0.100111,0
0.051,0.749885,0,0.100115,0
0.052,0.74988,0,0.10012,0
0.053,0.749875,0,0.100125,0
0.054,0.74987,0,0.10013,0
0.055,0.749866,0,0.100134,0
0.056,0.749861,0,0.100139,0
0.057,0.749856,0,0.100144,0
0.058,0.74985,0,0.10015,0
0.059,0.749845,0,0.100155,0
0.06,0.74984,0,0.10016,0
0.061,0.749834,0,0.100166,0
0.062,0.749829,0,0.100171,0
0.063,0.749823,0,0.100177,0
0.064,0.749817,0,0.100183,0
0.065,0.749812,0,0.100188,0
0.066,0.749806,0,0.100194,0
0.067,0.7498,0,0.1002,0
0.068,0.749794,0,0.100206,0
0.069,0.749788,0,0.100212,0
0.07,0.749781,0,0.100219,0
0.071,0.749775,0,0.100225,0
0.072,0.749769,0,0.100231,0
0.073,0.749762,0,0.100238,0
0.074,0.749755,0,0.100245,0
0.075,0.749749,0,0.100251,0
0.076,0.749742,0,0.100258,0
0.077,0.749735,0,0.100265,0
0.078,0.749728,0,0.100272,0
0.079,0.749721,0,0.100279,0
0.08,0.749714,0,0.100286,0
0.081,0.749707,0,0.100293,0
0.082,0.749699,0,0.100301,0
0.083,0.749692,0,0.100308,0
0.084,0.749684,0,0.100316,0
0.085,0.749677,0,0.100323,0
0.086,0.749669,0,0.100331,0
0.087,0.749661,0,0.100339,0
0.088,0.749653,0,0.100347,0
0.089,0.749645,0,0.100355,0
0.09,0.749637,0,0.100363,0
0.091,0.749629,0,0.100371,0
0.092,0.749621,0,0.100379,0
0.093,0.749612,0,0.100388,0
0.094,0.749604,0,0.100396,0
0.095,0.749596,0,0.100404,0
