x,y
0,0
0,0
time,x,y,x,y
0,0,0,0,0
0.001,-9.04837,0,9.04837,0
0.002,-9.04836,0,9.04836,0
0.003,-9.04833,0,9.04833,0
0.004,-9.04828,0,9.04828,0
0.005,-9.04821,0,9.04821,0
0.006,-9.04813,0,9.04813,0
0.007,-9.04803,0,9.04803,0
0.008,-9.04792,0,9.04792,0
0.009,-9.04778,0,9.04778,0
0.01,-9.04764,0,9.04764,0
0.011,-9.04747,0,9.04747,0
0.012,-9.04729,0,9.04729,0
0.013,-9.0471,0,9.0471,0
0.014,-9.04688,0,9.04688,0
0.015,-9.04666,0,9.04666,0
0.016,-9.04641,0,9.04641,0
0.017,-9.04615,0,9.04615,0
0.018,-9.04587,0,9.04587,0
0.019,-9.04557,0,9.04557,0
0.02,-9.04526,0,9.04526,0
0.021,-9.04494,0,9.04494,0
0.022,-9.04459,0,9.04459,0
0.023,-9.04423,0,9.04423,0
0.024,-9.04386,0,9.04386,0
0.025,-9.04346,0,9.04346,0
0.026,-9.04305,0,9.04305,0
0.027,-9.04263,0,9.04263,0
0.028,-9.04219,0,9.04219,0
0.029,-9.04173,0,9.04173,0
0.03,-9.04125,0,9.04125,0
0.031,-9.04076,0,9.04076,0
0.032,-9.04026,0,9.04026,0
0.033,-9.03973,0,9.03973,0
0.034,-9.03919,0,9.03919,0
0.035,-9.03864,0,9.03864,0
0.036,-9.03807,0,9.03807,0
0.037,-9.03748,0,9.03748,0
0.038,-9.03687,0,9.03687,0
0.039,-9.03625,0,9.03625,0
0.04,-9.03561,0,9.03561,0
0.041,-9.03496,0,9.03496,0
0.042,-9.03429,0,9.03429,0
0.043,-9.0336,0,9.0336,0
0.044,-9.0329,0,9.0329,0
0.045,-9.03218,0,9.03218,0
0.046,-9.03145,0,9.03145,0
0.047,-9.0307,0,9.0307,0
0.048,-9.02993,0,9.02993,0
0.049,-9.02914,0,9.02914,0
0.05,-9.02834,0,9.02834,0
0.051,-9.02753,0,9.02753,0
0.052,-9.0267,0,9.0267,0
0.053,-9.02585,0,9.02585,0
0.054,-9.02498,0,9.02498,0
0.055,-9.0241,0,9.0241,0
0.056,-9.0232,0,9.0232,0
0.057,-9.02229,0,9.02229,0
0.058,-9.02136,0,9.02136,0
0.059,-9.02041,0,9.02041,0
0.06,-9.01945,0,9.01945,0
0.061,-9.01847,0,9.01847,0
0.062,-9.01748,0,9.01748,0
0.063,-9.01647,0,9.01647,0
0.064,-9.01544,0,9.01544,0
0.065,-9.0144,0,9.0144,0
0.066,-9.01334,0,9.01334,0
0.067,-9.01227,0,9.01227,0
0.068,-9.01118,0,9.01118,0
0.069,-9.01007,0,9.01007,0
0.07,-9.00894,0,9.00894,0
0.071,-9.0078,0,9.0078,0
0.072,-9.00665,0,9.00665,0
0.073,-9.00548,0,9.00548,0
0.074,-9.00429,0,9.00429,0
0.075,-9.00309,0,9.00309,0
0.076,-9.00187,0,9.00187,0
0.077,-9.00063,0,9.00063,0
0.078,-8.99938,0,8.99938,0
0.079,-8.99811,0,8.99811,0
0.08,-8.99683,0,8.99683,0
0.081,-8.99553,0,8.99553,0
0.082,-8.99421,0,8.99421,0
0.083,-8.99288,0,8.99288,0
0.084,-8.99153,0,8.99153,0
0.085,-8.99017,0,8.99017,0
0.086,-8.98879,0,8.98879,0
0.087,-8.98739,0,8.98739,0
0.088,-8.98598,0,8.98598,0
0.089,-8.98455,0,8.98455,0
0.09,-8.98311,0,8.98311,0
0.091,-8.98165,0,8.98165,0
0.092,-8.98017,0,8.98017,0
0.093,-8.97868,0,8.97868,0
0.094,-8.97718,0,8.97718,0
0.095,-8.97565,0,8.97565,0
0.096,-8.97411,0,8.97411,0
0.097,-8.97256,0,8.97256,0
0.098,-8.97099,0,8.97099,0
0.099,-8.9694,0,8.9694,0
0.1,-8.9678,0,8.9678,0
0.101,-8.96618,0,8.96618,0
0.102,-8.96455,0,8.96455,0
0.103,-8.9629,0,8.9629,0
0.104,-8.96124,0,8.96124,0
0.105,-8.95955,0,8.95955,0
0.106,-8.95786,0,8.95786,0
0.107,-8.95615,0,8.95615,0
0.108,-8.95442,0,8.95442,0
0.109,-8.95267,0,8.95267,0
0.11,-8.95091,0,8.95091,0
0.111,-8.94914,0,8.94914,0
0.112,-8.94735,0,8.94735,0
0.113,-8.94554,0,8.94554,0
0.114,-8.94372,0,8.94372,0
0.115,-8.94188,0,8.94188,0
0.116,-8.94003,0,8.94003,0
0.117,-8.93816,0,8.93816,0
0.118,-8.93627,0,8.93627,0
0.119,-8.93437,0,8.93437,0
0.12,-8.93246,0,8.93246,0
0.121,-8.93053,0,8.93053,0
0.122,-8.92858,0,8.92858,0
0.123,-8.92662,0,8.92662,0
0.124,-8.92464,0,8.92464,0
0.125,-8.92265,0,8.92265,0
0.126,-8.92064,0,8.92064,0
0.127,-8.91862,0,8.91862,0
0.128,-8.91658,0,8.91658,0
0.129,-8.91452,0,8.91452,0
0.13,-8.91245,0,8.91245,0
0.131,-8.91036,0,8.91036,0
0.132,-8.90826,0,8.90826,0
0.133,-8.90615,0,8.90615,0
0.134,-8.90401,0,8.90401,0
0.135,-8.90187,0,8.90187,0
0.136,-8.8997,0,8.8997,0
0.137,-8.89753,0,8.89753,0
0.138,-8.89533,0,8.89533,0
0.139,-8.89312,0,8.89312,0
0.14,-8.8909,0,8.8909,0
0.141,-8.88866,0,8.88866,0
0.142,-8.88641,0,8.88641,0
0.143,-8.88414,0,8.88414,0
0.144,-8.88185,0,8.88185,0
0.145,-8.87955,0,8.87955,0
0.146,-8.87724,0,8.87724,0
0.147,-8.87491,0,8.87491,0
0.148,-8.87256,0,8.87256,0
0.149,-8.8702,0,8.8702,0
0.15,-8.86783,0,8.86783,0
0.151,-8.86544,0,8.86544,0
0.152,-8.86303,0,8.86303,0
0.153,-8.86061,0,8.86061,0
0.154,-8.85817,0,8.85817,0
0.155,-8.85572,0,8.85572,0
0.156,-8.85326,0,8.85326,0
0.157,-8.85078,0,8.85078,0
0.158,-8.84828,0,8.84828,0
0.159,-8.84577,0,8.84577,0
0.16,-8.84324,0,8.84324,0
0.161,-8.8407,0,8.8407,0
0.162,-8.83815,0,8.83815,0
0.163,-8.83558,0,8.83558,0
0.164,-8.83299,0,8.83299,0
0.165,-8.83039,0,8.83039,0
0.166,-8.82778,0,8.82778,0
0.167,-8.82515,0,8.82515,0
0.168,-8.8225,0,8.8225,0
0.169,-8.81984,0,8.81984,0
0.17,-8.81717,0,8.81717,0
0.171,-8.81448,0,8.81448,0
0.172,-8.81178,0,8.81178,0
0.173,-8.80906,0,8.80906,0
0.174,-8.80633,0,8.80633,0
