x,y
0,0
0,0
time,x,y,x,y
0,0,0,0,0
0.001,-0.000452419,0,0.000452419,0
0.002,-0.00135726,0,0.00135726,0
0.003,-0.00226209,0,0.00226209,0
0.004,-0.00316692,0,0.00316692,0
0.005,-0.00407174,0,0.00407174,0
0.006,-0.00497656,0,0.00497656,0
0.007,-0.00588137,0,0.00588137,0
0.008,-0.00678617,0,0.00678617,0
0.009,-0.00769095,0,0.00769095,0
0.01,-0.00859572,0,0.00859572,0
0.011,-0.00950048,0,0.00950048,0
0.012,-0.0104052,0,0.0104052,0
0.013,-0.0113099,0,0.0113099,0
0.014,-0.0122146,0,0.0122146,0
0.015,-0.0131193,0,0.0131193,0
0.016,-0.014024,0,0.014024,0
0.017,-0.0149286,0,0.0149286,0
0.018,-0.0158332,0,0.0158332,0
0.019,-0.0167378,0,0.0167378,0
0.02,-0.0176423,0,0.0176423,0
0.021,-0.0185468,0,0.0185468,0
0.022,-0.0194513,0,0.0194513,0
0.023,-0.0203557,0,0.0203557,0
0.024,-0.0212601,0,0.0212601,0
0.025,-0.0221645,0,0.0221645,0
0.026,-0.0230688,0,0.0230688,0
0.027,-0.0239731,0,0.0239731,0
0.028,-0.0248774,0,0.0248774,0
0.029,-0.0257816,0,0.0257816,0
0.03,-0.0266857,0,0.0266857,0
0.031,-0.0275898,0,0.0275898,0
0.032,-0.0284939,0,0.0284939,0
0.033,-0.0293979,0,0.0293979,0
0.034,-0.0303018,0,0.0303018,0
0.035,-0.0312057,0,0.0312057,0
0.036,-0.0321095,0,0.0321095,0
0.037,-0.0330133,0,0.0330133,0
0.038,-0.033917,0,0.033917,0
0.039,-0.0348207,0,0.0348207,0
0.04,-0.0357243,0,0.0357243,0
0.041,-0.0366278,0,0.0366278,0
0.042,-0.0375313,0,0.0375313,0
0.043,-0.0384347,0,0.0384347,0
0.044,-0.039338,0,0.039338,0
0.045,-0.0402412,0,0.0402412,0
0.046,-0.0411444,0,0.0411444,0
0.047,-0.0420475,0,0.0420475,0
0.048,-0.0429506,0,0.0429506,0
0.049,-0.0438535,0,0.0438535,0
0.05,-0.0447564,0,0.0447564,0
0.051,-0.0456592,0,0.0456592,0
0.052,-0.0465619,0,0.0465619,0
0.053,-0.0474645,0,0.0474645,0
0.054,-0.0483671,0,0.0483671,0
0.055,-0.0492695,0,0.0492695,0
0.056,-0.0501719,0,0.0501719,0
0.057,-0.0510742,0,0.0510742,0
0.058,-0.0519763,0,0.0519763,0
0.059,-0.0528784,0,0.0528784,0
0.06,-0.0537804,0,0.0537804,0
0.061,-0.0546823,0,0.0546823,0
0.062,-0.0555841,0,0.0555841,0
0.063,-0.0564858,0,0.0564858,0
0.064,-0.0573874,0,0.0573874,0
0.065,-0.0582889,0,0.0582889,0
0.066,-0.0591903,0,0.0591903,0
0.067,-0.0600916,0,0.0600916,0
0.068,-0.0609927,0,0.0609927,0
0.069,-0.0618938,0,0.0618938,0
