time,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0,0.3,0.4,0.4,0.4,0.744743,0.180336,0.172043,0.705768,0.135809,0.483818,0.550069,0.052258,0.551065,0.176116,0.292968,0.059621,0.081272,0.490255,0.351897,0.686276,0.113886,0.285068,0.610364,0.741576
0.001,0.3,0.4,0.4,0.4,0.744743,0.180336,0.172043,0.705768,0.135809,0.483818,0.550069,0.052258,0.551065,0.176116,0.292968,0.059621,0.081272,0.490255,0.351897,0.686276,0.113886,0.285068,0.610364,0.741576
0.002,0.300001,0.4,0.400002,0.4,0.744742,0.180336,0.172044,0.705769,0.135809,0.48382,0.550068,0.0522568,0.551064,0.176117,0.292968,0.0596191,0.0812698,0.490256,0.351898,0.686276,0.113886,0.285067,0.610364,0.741575
0.003,0.300002,0.4,0.400006,0.400001,0.744741,0.180335,0.172045,0.705772,0.13581,0.483823,0.550067,0.0522544,0.551062,0.176118,0.292967,0.0596153,0.0812654,0.490258,0.351901,0.686277,0.113886,0.285064,0.610365,0.741574
0.004,0.300004,0.4,0.400013,0.400002,0.744738,0.180334,0.172047,0.705776,0.135811,0.483828,0.550064,0.0522509,0.551059,0.17612,0.292965,0.0596097,0.0812587,0.490261,0.351905,0.686278,0.113886,0.285061,0.610365,0.741572
0.005,0.300006,0.4,0.400021,0.400003,0.744735,0.180333,0.17205,0.705782,0.135812,0.483835,0.550061,0.0522461,0.551055,0.176122,0.292963,0.0596021,0.0812499,0.490265,0.35191,0.68628,0.113886,0.285056,0.610366,0.741569
0.006,0.300009,0.4,0.400032,0.400004,0.744731,0.180332,0.172053,0.705788,0.135813,0.483843,0.550057,0.0522402,0.55105,0.176125,0.292961,0.0595927,0.0812388,0.490269,0.351917,0.686281,0.113886,0.28505,0.610367,0.741565
0.007,0.300013,0.4,0.400045,0.400006,0.744727,0.180331,0.172058,0.705797,0.135815,0.483853,0.550052,0.052233,0.551044,0.176129,0.292958,0.0595813,0.0812255,0.490275,0.351925,0.686284,0.113886,0.285043,0.610369,0.74156
0.008,0.300018,0.4,0.40006,0.400008,0.744721,0.180329,0.172062,0.705806,0.135817,0.483865,0.550046,0.0522247,0.551036,0.176133,0.292955,0.0595681,0.08121,0.490282,0.351934,0.686286,0.113886,0.285035,0.61037,0.741555
0.009,0.300023,0.4,0.400077,0.40001,0.744715,0.180327,0.172068,0.705817,0.13582,0.483878,0.550039,0.0522152,0.551028,0.176138,0.292951,0.059553,0.0811923,0.49029,0.351945,0.686289,0.113885,0.285025,0.610372,0.741549
0.01,0.300028,0.4,0.400096,0.400013,0.744708,0.180324,0.172074,0.705829,0.135822,0.483893,0.550032,0.0522045,0.551019,0.176144,0.292947,0.059536,0.0811723,0.490298,0.351957,0.686292,0.113885,0.285015,0.610374,0.741542
0.011,0.300035,0.4,0.400117,0.400015,0.744701,0.180322,0.172081,0.705843,0.135825,0.48391,0.550024,0.0521926,0.551009,0.17615,0.292943,0.0595171,0.0811502,0.490308,0.351971,0.686296,0.113885,0.285003,0.610376,0.741535
0.012,0.300041,0.4,0.400141,0.400018,0.744692,0.180319,0.172089,0.705858,0.135829,0.483929,0.550014,0.0521795,0.550998,0.176157,0.292937,0.0594963,0.0811258,0.490319,0.351985,0.6863,0.113885,0.28499,0.610379,0.741527
0.013,0.300049,0.4,0.400166,0.400022,0.744683,0.180316,0.172097,0.705875,0.135832,0.483949,0.550004,0.0521653,0.550986,0.176164,0.292932,0.0594736,0.0810992,0.49033,0.352001,0.686304,0.113885,0.284976,0.610381,0.741518
0.014,0.300057,0.4,0.400194,0.400025,0.744673,0.180313,0.172106,0.705892,0.135836,0.483971,0.549994,0.0521498,0.550972,0.176173,0.292926,0.059449,0.0810704,0.490343,0.352019,0.686309,0.113885,0.28496,0.610384,0.741508
0.015,0.300066,0.4,0.400224,0.400029,0.744662,0.180309,0.172116,0.705911,0.13584,0.483994,0.549982,0.0521332,0.550958,0.176181,0.292919,0.0594226,0.0810394,0.490356,0.352038,0.686314,0.113884,0.284944,0.610387,0.741497
0.016,0.300075,0.399999,0.400256,0.400034,0.744651,0.180305,0.172126,0.705932,0.135845,0.484019,0.54997,0.0521153,0.550943,0.176191,0.292912,0.0593942,0.0810062,0.490371,0.352058,0.68632,0.113884,0.284926,0.610391,0.741486
0.017,0.300085,0.399999,0.40029,0.400038,0.744638,0.180301,0.172137,0.705954,0.13585,0.484046,0.549956,0.0520963,0.550926,0.176201,0.292905,0.059364,0.0809707,0.490386,0.352079,0.686325,0.113884,0.284907,0.610394,0.741474
0.018,0.300096,0.399999,0.400326,0.400043,0.744625,0.180297,0.172149,0.705977,0.135855,0.484075,0.549942,0.0520761,0.550909,0.176211,0.292897,0.0593319,0.0809331,0.490403,0.352102,0.686332,0.113884,0.284887,0.610398,0.741461
0.019,0.300107,0.399999,0.400365,0.400048,0.744611,0.180292,0.172161,0.706002,0.13586,0.484105,0.549928,0.0520547,0.550891,0.176222,0.292889,0.0592979,0.0808932,0.49042,0.352126,0.686338,0.113883,0.284865,0.610402,0.741448
0.02,0.300119,0.399999,0.400405,0.400053,0.744597,0.180287,0.172174,0.706027,0.135866,0.484137,0.549912,0.0520321,0.550871,0.176234,0.29288,0.059262,0.0808511,0.490438,0.352151,0.686345,0.113883,0.284843,0.610406,0.741434
0.021,0.300132,0.399999,0.400448,0.400059,0.744581,0.180282,0.172188,0.706055,0.135872,0.48417,0.549895,0.0520083,0.550851,0.176247,0.292871,0.0592242,0.0808068,0.490458,0.352178,0.686352,0.113883,0.284819,0.610411,0.741419
0.022,0.300145,0.399999,0.400493,0.400065,0.744565,0.180277,0.172203,0.706083,0.135878,0.484206,0.549878,0.0519833,0.55083,0.17626,0.292861,0.0591845,0.0807603,0.490478,0.352206,0.68636,0.113882,0.284794,0.610415,0.741403
0.023,0.300159,0.399999,0.40054,0.400071,0.744548,0.180271,0.172218,0.706114,0.135885,0.484242,0.54986,0.0519572,0.550807,0.176273,0.292851,0.0591429,0.0807115,0.490499,0.352236,0.686368,0.113882,0.284768,0.61042,0.741386
