x,y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
time,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,-0.841235,-17.1706,-0.841235,-17.1706,10.392,-17.1706,-8.94828,-16.9784,-8.94828,-16.9784,-8.94828,-16.9784,-0.841235,17.1706,-0.841235,17.1706,10.392,17.1706,-11.8358,16.9784,10.6307,16.9784,10.6307,16.9784
0.002,10.3921,16.8113,10.3921,16.8112,-0.841188,16.8113,-8.94834,16.9784,-8.94841,16.9784,-8.9484,16.9784,10.392,-16.8113,10.392,-16.8112,-0.841186,-16.8113,10.6307,-16.9784,-11.8357,-16.9784,-11.8357,-16.9784
0.003,10.3922,16.8113,10.3922,16.8112,-0.841028,16.8113,-8.94862,16.9784,-8.9487,16.9784,-8.94868,16.9784,10.3922,-16.8113,10.3922,-16.8112,-0.841025,-16.8113,10.6307,-16.9784,-11.8357,-16.9784,-11.8357,-16.9784
0.004,-0.840752,16.8113,-0.840752,16.8113,-0.840752,16.8113,-8.94913,16.9784,-8.94913,16.9784,-8.94913,16.9784,-0.840752,-16.8113,-0.840752,-16.8113,-0.840752,-16.8113,10.6306,-16.9784,10.6306,-16.9784,10.6306,-16.9784
0.005,-0.840416,-17.1705,-0.840416,-17.1704,-0.840459,-17.1705,-8.94978,-16.9784,-8.9497,-16.9784,-8.94972,-16.9784,-0.84042,17.1705,-0.84042,17.1704,-0.840463,17.1705,10.6307,16.9784,10.6305,16.9784,10.6305,16.9784
0.006,-0.840125,-17.1704,-0.840125,-17.1703,10.3929,-17.1705,-8.95053,-16.9784,-8.95038,-16.9784,-8.95042,-16.9783,-0.840131,17.1704,-0.840131,17.1703,10.393,17.1705,-11.8354,16.9784,10.6307,16.9784,10.6307,16.9784
0.007,-0.839831,-17.1704,-0.839831,-17.1703,10.3932,-17.1704,-8.95135,-16.9784,-8.9512,-16.9784,-8.95124,-16.9784,-0.839837,17.1704,-0.839837,17.1703,10.3933,17.1704,-11.8351,16.9784,10.6309,16.9784,10.6309,16.9784
0.008,-0.839533,-17.1703,-0.839533,-17.1702,-0.839577,-17.1703,-8.95224,-16.9784,-8.95216,-16.9784,-8.95218,-16.9784,-0.839538,17.1703,-0.839538,17.1702,-0.839581,17.1703,10.6314,16.9784,10.6312,16.9784,10.6312,16.9784
0.009,-0.839281,16.8116,-0.839281,16.8116,-0.839281,16.8116,-8.95323,-4.02712,-8.95323,16.9785,-8.95323,-16.9785,-0.839281,-16.8116,-0.839281,-16.8116,-0.839281,-16.8116,10.6318,-6.16161,10.6318,4.02712,10.6318,6.16161
0.01,10.3944,16.8117,10.3944,16.8116,-0.83902,16.8117,-8.95436,16.9784,-8.95445,16.9786,-8.95441,16.9783,10.3942,-16.8118,10.3942,-16.8116,-0.838915,-16.8117,10.6323,-16.9785,-11.8342,-16.9784,-11.8342,-16.9784
0.011,10.3949,16.8118,10.3949,16.8118,-0.838643,16.8118,-8.95571,16.9784,-8.95581,16.9788,-8.95575,16.9781,10.3946,-16.8119,10.3945,-16.8117,-0.838436,-16.8118,10.6328,-16.9786,-11.8337,-16.9784,-11.8337,-16.9784
0.012,10.3955,16.8119,10.3955,16.8119,10.3952,16.812,-8.95729,16.9784,-8.95733,16.9791,-8.95726,16.9779,10.3951,-16.812,10.3951,-16.8119,10.3954,-16.8119,-11.8332,-16.9787,-11.8333,-16.9783,-11.8333,-16.9783
0.013,-0.837131,-17.1699,-0.837092,-17.1698,10.3958,-17.1698,-8.95905,16.9784,-8.95899,6.78975,-8.95896,16.9778,-0.837288,17.1698,-0.837326,17.1698,10.3962,17.1699,-11.8328,-6.78925,10.6334,-16.9783,10.6333,-16.9783
0.014,-0.836322,-17.1698,-0.836267,-17.1696,-0.836703,-17.1696,-8.96089,4.02694,-8.96077,-16.9776,-8.96079,16.9777,-0.83651,17.1696,-0.836564,17.1696,-0.836215,17.1697,10.6338,6.16239,10.6336,-4.02691,10.6336,-6.16249
0.015,-0.835577,-17.1696,-0.835516,-17.1694,-0.835945,-17.1695,-8.96282,-16.9786,-8.9627,-16.9777,-8.96273,16.9778,-0.835755,17.1694,-0.835816,17.1695,-0.835474,17.1696,10.6341,6.16271,10.6341,6.78863,10.6341,4.02721
0.016,-0.834926,-17.1694,-0.834833,-17.1693,-0.835158,-17.1693,-8.96484,-16.9787,-8.96473,-16.9779,-8.9648,-16.979,-0.834996,17.1693,-0.835089,17.1693,-0.83485,17.1694,10.6348,16.9784,10.6347,16.9786,10.6348,16.9787
0.017,-0.83432,16.8126,-0.834196,16.8127,10.3988,16.8127,-8.96696,-16.9788,-8.96686,-16.9781,-8.96691,-16.9788,-0.83428,-16.8126,-0.834405,-16.8127,10.3991,-16.8126,-11.831,16.9784,10.6355,16.9786,10.6355,16.9786
0.018,10.3996,16.8128,10.3998,16.8128,10.3997,16.8128,-8.9692,-16.9789,-8.96919,-16.9783,-8.9692,-16.9785,10.3999,-16.8128,10.3998,-16.8128,10.3998,-16.8128,-11.8303,16.9786,-11.8304,16.9786,-11.8303,16.9786
0.019,10.4005,16.813,10.4007,16.8129,-0.832517,16.813,-8.97164,-4.02742,-8.97171,-16.9786,-8.97168,-16.9783,10.4009,-16.813,10.4007,-16.813,-0.832682,-16.813,10.6369,4.02704,-11.8298,16.9786,-11.8297,16.9786
0.02,-0.831702,16.8133,-0.831568,16.8131,-0.831352,16.8132,-8.97428,16.9783,-8.97435,16.9785,-8.97434,-16.9781,-0.831406,-16.8132,-0.83154,-16.8132,-0.831669,-16.8132,10.6373,-6.16461,10.6375,-6.787,10.6374,-4.02699
0.021,-0.830562,16.8135,-0.830508,16.8133,-0.830244,16.8135,-8.97708,16.9784,-8.97715,16.9783,-8.97714,16.9793,-0.830336,-16.8134,-0.83039,-16.8134,-0.830568,-16.8135,10.6378,-16.9787,10.6381,-16.9787,10.638,-16.9787
0.022,-0.829404,-17.1681,-0.82943,-17.1683,-0.829117,-17.1682,-8.98004,16.9785,-8.9801,16.9782,-8.9801,16.9793,-0.82925,17.1682,-0.829224,17.1682,-0.829451,17.1682,10.6385,-16.9787,10.6388,-16.9787,10.6388,-16.9787
0.023,10.405,-17.1679,10.4048,-17.168,-0.828033,-17.168,-8.9831,16.9787,-8.98317,16.9782,-8.98316,16.9793,10.4048,17.168,10.4049,17.168,-0.828379,17.1679,10.6394,-16.9787,-11.8265,-16.9787,-11.8265,-16.9787
0.024,-0.827077,-17.1677,-0.827263,-17.1677,-0.826895,-17.1677,-8.98633,16.9789,-8.98632,16.9781,-8.98633,16.9793,-0.827073,17.1678,-0.826888,17.1677,-0.827255,17.1677,10.6404,-16.9788,10.6405,-16.9788,10.6405,-16.9788
0.025,10.4072,-17.1674,10.407,-17.1675,10.4073,-17.1675,-8.98966,16.9791,-8.98957,16.9781,-8.98961,-16.9783,10.4071,17.1676,10.4074,17.1674,10.4069,17.1674,-11.8246,-6.16697,-11.8247,-6.78503,-11.8246,-4.02685
