time,x,y
0,0.3,0.4
0.001,0.3,0.4
0.002,0.3,0.4
0.003,0.3,0.4
0.004,0.3,0.4
0.005,0.3,0.4
0.006,0.3,0.4
0.007,0.3,0.4
0.008,0.3,0.4
0.009,0.3,0.4
0.01,0.3,0.4
0.011,0.3,0.4
0.012,0.3,0.4
0.013,0.3,0.4
0.014,0.3,0.4
0.015,0.3,0.4
0.016,0.3,0.4
0.017,0.3,0.4
0.018,0.3,0.4
0.019,0.3,0.4
0.02,0.3,0.4
0.021,0.3,0.4
0.022,0.3,0.4
0.023,0.3,0.4
0.024,0.3,0.4
0.025,0.3,0.4
0.026,0.3,0.4
0.027,0.3,0.4
0.028,0.3,0.4
0.029,0.3,0.4
0.03,0.3,0.4
0.031,0.3,0.4
0.032,0.3,0.4
0.033,0.3,0.4
0.034,0.3,0.4
0.035,0.3,0.4
0.036,0.3,0.4
0.037,0.3,0.4
0.038,0.3,0.4
0.039,0.3,0.4
0.04,0.3,0.4
0.041,0.3,0.4
0.042,0.3,0.4
0.043,0.3,0.4
0.044,0.3,0.4
0.045,0.3,0.4
0.046,0.3,0.4
0.047,0.3,0.4
0.048,0.3,0.4
0.049,0.3,0.4
0.05,0.3,0.4
0.051,0.3,0.4
0.052,0.3,0.4
0.053,0.3,0.4
0.054,0.3,0.4
0.055,0.3,0.4
0.056,0.3,0.4
0.057,0.3,0.4
0.058,0.3,0.4
0.059,0.3,0.4
0.06,0.3,0.4
0.061,0.3,0.4
0.062,0.3,0.4
0.063,0.3,0.4
0.064,0.3,0.4
0.065,0.3,0.4
0.066,0.3,0.4
0.067,0.3,0.4
0.068,0.3,0.4
0.069,0.3,0.4
0.07,0.3,0.4
0.071,0.3,0.4
0.072,0.3,0.4
0.073,0.3,0.4
0.074,0.3,0.4
0.075,0.3,0.4
0.076,0.3,0.4
0.077,0.3,0.4
0.078,0.3,0.4
0.079,0.3,0.4
0.08,0.3,0.4
0.081,0.3,0.4
0.082,0.3,0.4
0.083,0.3,0.4
0.084,0.3,0.4
0.085,0.3,0.4
0.086,0.3,0.4
0.087,0.3,0.4
0.088,0.3,0.4
0.089,0.3,0.4
0.09,0.3,0.4
0.091,0.3,0.4
0.092,0.3,0.4
0.093,0.3,0.4
0.094,0.3,0.4
0.095,0.3,0.4
0.096,0.3,0.4
0.097,0.3,0.4
0.098,0.3,0.4
0.099,0.3,0.4
0.1,0.3,0.4
0.101,0.3,0.4
0.102,0.3,0.4
0.103,0.3,0.4
0.104,0.3,0.4
0.105,0.3,0.4
0.106,0.3,0.4
0.107,0.3,0.4
0.108,0.3,0.4
0.109,0.3,0.4
0.11,0.3,0.4
0.111,0.3,0.4
0.112,0.3,0.4
0.113,0.3,0.4
0.114,0.3,0.4
0.115,0.3,0.4
0.116,0.3,0.4
0.117,0.3,0.4
0.118,0.3,0.4
0.119,0.3,0.4
0.12,0.3,0.4
0.121,0.3,0.4
0.122,0.3,0.4
0.123,0.3,0.4
0.124,0.3,0.4
0.125,0.3,0.4
0.126,0.3,0.4
0.127,0.3,0.4
0.128,0.3,0.4
0.129,0.3,0.4
0.13,0.3,0.4
0.131,0.3,0.4
0.132,0.3,0.4
0.133,0.3,0.4
0.134,0.3,0.4
0.135,0.3,0.4
0.136,0.3,0.4
0.137,0.3,0.4
0.138,0.3,0.4
0.139,0.3,0.4
0.14,0.3,0.4
0.141,0.3,0.4
0.142,0.3,0.4
0.143,0.3,0.4
0.144,0.3,0.4
0.145,0.3,0.4
0.146,0.3,0.4
0.147,0.3,0.4
0.148,0.3,0.4
0.149,0.3,0.4
0.15,0.3,0.4
0.151,0.3,0.4
0.152,0.3,0.4
0.153,0.3,0.4
0.154,0.3,0.4
0.155,0.3,0.4
0.156,0.3,0.4
0.157,0.3,0.4
0.158,0.3,0.4
0.159,0.3,0.4
0.16,0.3,0.4
0.161,0.3,0.4
0.162,0.3,0.4
0.163,0.3,0.4
0.164,0.3,0.4
0.165,0.3,0.4
0.166,0.3,0.4
0.167,0.3,0.4
0.168,0.3,0.4
0.169,0.3,0.4
0.17,0.3,0.4
0.171,0.3,0.4
0.172,0.3,0.4
0.173,0.3,0.4
0.174,0.3,0.4
0.175,0.3,0.4
0.176,0.3,0.4
0.177,0.3,0.4
0.178,0.3,0.4
0.179,0.3,0.4
0.18,0.3,0.4
0.181,0.3,0.4
0.182,0.3,0.4
0.183,0.3,0.4
0.184,0.3,0.4
0.185,0.3,0.4
0.186,0.3,0.4
0.187,0.3,0.4
0.188,0.3,0.4
0.189,0.3,0.4
0.19,0.3,0.4
0.191,0.3,0.4
0.192,0.3,0.4
0.193,0.3,0.4
0.194,0.3,0.4
0.195,0.3,0.4
0.196,0.3,0.4
0.197,0.3,0.4
0.198,0.3,0.4
0.199,0.3,0.4
0.2,0.3,0.4
0.201,0.3,0.4
0.202,0.3,0.4
0.203,0.3,0.4
0.204,0.3,0.4
0.205,0.3,0.4
0.206,0.3,0.4
0.207,0.3,0.4
0.208,0.3,0.4
0.209,0.3,0.4
0.21,0.3,0.4
0.211,0.3,0.4
0.212,0.3,0.4
0.213,0.3,0.4
0.214,0.3,0.4
0.215,0.3,0.4
0.216,0.3,0.4
0.217,0.3,0.4
0.218,0.3,0.4
0.219,0.3,0.4
0.22,0.3,0.4
0.221,0.3,0.4
0.222,0.3,0.4
0.223,0.3,0.4
0.224,0.3,0.4
0.225,0.3,0.4
0.226,0.3,0.4
0.227,0.3,0.4
0.228,0.3,0.4
0.229,0.3,0.4
0.23,0.3,0.4
0.231,0.3,0.4
0.232,0.3,0.4
0.233,0.3,0.4
0.234,0.3,0.4
0.235,0.3,0.4
0.236,0.3,0.4
0.237,0.3,0.4
0.238,0.3,0.4
0.239,0.3,0.4
0.24,0.3,0.4
0.241,0.3,0.4
0.242,0.3,0.4
0.243,0.3,0.4
0.244,0.3,0.4
0.245,0.3,0.4
0.246,0.3,0.4
0.247,0.3,0.4
0.248,0.3,0.4
0.249,0.3,0.4
0.25,0.3,0.4
0.251,0.3,0.4
0.252,0.3,0.4
0.253,0.3,0.4
0.254,0.3,0.4
0.255,0.3,0.4
0.256,0.3,0.4
0.257,0.3,0.4
0.258,0.3,0.4
0.259,0.3,0.4
0.26,0.3,0.4
0.261,0.3,0.4
0.262,0.3,0.4
0.263,0.3,0.4
0.264,0.3,0.4
0.265,0.3,0.4
0.266,0.3,0.4
0.267,0.3,0.4
0.268,0.3,0.4
0.269,0.3,0.4
0.27,0.3,0.4
0.271,0.3,0.4
0.272,0.3,0.4
0.273,0.3,0.4
0.274,0.3,0.4
0.275,0.3,0.4
0.276,0.3,0.4
0.277,0.3,0.4
0.278,0.3,0.4
0.279,0.3,0.4
0.28,0.3,0.4
0.281,0.3,0.4
0.282,0.3,0.4
0.283,0.3,0.4
0.284,0.3,0.4
0.285,0.3,0.4
0.286,0.3,0.4
0.287,0.3,0.4
0.288,0.3,0.4
0.289,0.3,0.4
0.29,0.3,0.4
0.291,0.3,0.4
0.292,0.3,0.4
0.293,0.3,0.4
0.294,0.3,0.4
0.295,0.3,0.4
0.296,0.3,0.4
0.297,0.3,0.4
0.298,0.3,0.4
0.299,0.3,0.4
0.3,0.3,0.4
0.301,0.3,0.4
0.302,0.3,0.4
0.303,0.3,0.4
0.304,0.3,0.4
0.305,0.3,0.4
0.306,0.3,0.4
0.307,0.3,0.4
0.308,0.3,0.4
0.309,0.3,0.4
0.31,0.3,0.4
0.311,0.3,0.4
0.312,0.3,0.4
0.313,0.3,0.4
0.314,0.3,0.4
0.315,0.3,0.4
0.316,0.3,0.4
0.317,0.3,0.4
0.318,0.3,0.4
0.319,0.3,0.4
0.32,0.3,0.4
0.321,0.3,0.4
0.322,0.3,0.4
0.323,0.3,0.4
0.324,0.3,0.4
0.325,0.3,0.4
0.326,0.3,0.4
0.327,0.3,0.4
0.328,0.3,0.4
0.329,0.3,0.4
0.33,0.3,0.4
0.331,0.3,0.4
0.332,0.3,0.4
0.333,0.3,0.4
0.334,0.3,0.4
0.335,0.3,0.4
0.336,0.3,0.4
0.337,0.3,0.4
0.338,0.3,0.4
0.339,0.3,0.4
0.34,0.3,0.4
0.341,0.3,0.4
0.342,0.3,0.4
0.343,0.3,0.4
0.344,0.3,0.4
0.345,0.3,0.4
0.346,0.3,0.4
0.347,0.3,0.4
0.348,0.3,0.4
0.349,0.3,0.4
0.35,0.3,0.4
0.351,0.3,0.4
0.352,0.3,0.4
0.353,0.3,0.4
0.354,0.3,0.4
0.355,0.3,0.4
0.356,0.3,0.4
0.357,0.3,0.4
0.358,0.3,0.4
0.359,0.3,0.4
0.36,0.3,0.4
0.361,0.3,0.4
0.362,0.3,0.4
0.363,0.3,0.4
0.364,0.3,0.4
0.365,0.3,0.4
0.366,0.3,0.4
0.367,0.3,0.4
0.368,0.3,0.4
0.369,0.3,0.4
0.37,0.3,0.4
0.371,0.3,0.4
0.372,0.3,0.4
0.373,0.3,0.4
0.374,0.3,0.4
0.375,0.3,0.4
0.376,0.3,0.4
0.377,0.3,0.4
0.378,0.3,0.4
0.379,0.3,0.4
0.38,0.3,0.4
0.381,0.3,0.4
0.382,0.3,0.4
0.383,0.3,0.4
0.384,0.3,0.4
0.385,0.3,0.4
0.386,0.3,0.4
0.387,0.3,0.4
0.388,0.3,0.4
0.389,0.3,0.4
0.39,0.3,0.4
0.391,0.3,0.4
0.392,0.3,0.4
0.393,0.3,0.4
0.394,0.3,0.4
0.395,0.3,0.4
0.396,0.3,0.4
0.397,0.3,0.4
0.398,0.3,0.4
0.399,0.3,0.4
0.4,0.3,0.4
0.401,0.3,0.4
0.402,0.3,0.4
0.403,0.3,0.4
0.404,0.3,0.4
0.405,0.3,0.4
0.406,0.3,0.4
0.407,0.3,0.4
0.408,0.3,0.4
0.409,0.3,0.4
0.41,0.3,0.4
0.411,0.3,0.4
0.412,0.3,0.4
0.413,0.3,0.4
0.414,0.3,0.4
0.415,0.3,0.4
0.416,0.3,0.4
0.417,0.3,0.4
0.418,0.3,0.4
0.419,0.3,0.4
0.42,0.3,0.4
0.421,0.3,0.4
0.422,0.3,0.4
0.423,0.3,0.4
0.424,0.3,0.4
0.425,0.3,0.4
0.426,0.3,0.4
0.427,0.3,0.4
0.428,0.3,0.4
0.429,0.3,0.4
0.43,0.3,0.4
0.431,0.3,0.4
0.432,0.3,0.4
0.433,0.3,0.4
0.434,0.3,0.4
0.435,0.3,0.4
0.436,0.3,0.4
0.437,0.3,0.4
0.438,0.3,0.4
0.439,0.3,0.4
0.44,0.3,0.4
0.441,0.3,0.4
0.442,0.3,0.4
0.443,0.3,0.4
0.444,0.3,0.4
0.445,0.3,0.4
0.446,0.3,0.4
0.447,0.3,0.4
0.448,0.3,0.4
0.449,0.3,0.4
0.45,0.3,0.4
0.451,0.3,0.4
0.452,0.3,0.4
0.453,0.3,0.4
0.454,0.3,0.4
0.455,0.3,0.4
0.456,0.3,0.4
0.457,0.3,0.4
0.458,0.3,0.4
0.459,0.3,0.4
0.46,0.3,0.4
0.461,0.3,0.4
0.462,0.3,0.4
0.463,0.3,0.4
0.464,0.3,0.4
0.465,0.3,0.4
0.466,0.3,0.4
0.467,0.3,0.4
0.468,0.3,0.4
0.469,0.3,0.4
0.47,0.3,0.4
0.471,0.3,0.4
0.472,0.3,0.4
0.473,0.3,0.4
0.474,0.3,0.4
0.475,0.3,0.4
0.476,0.3,0.4
0.477,0.3,0.4
0.478,0.3,0.4
0.479,0.3,0.4
0.48,0.3,0.4
0.481,0.3,0.4
0.482,0.3,0.4
0.483,0.3,0.4
0.484,0.3,0.4
0.485,0.3,0.4
0.486,0.3,0.4
0.487,0.3,0.4
0.488,0.3,0.4
0.489,0.3,0.4
0.49,0.3,0.4
0.491,0.3,0.4
0.492,0.3,0.4
0.493,0.3,0.4
0.494,0.3,0.4
0.495,0.3,0.4
0.496,0.3,0.4
0.497,0.3,0.4
0.498,0.3,0.4
0.499,0.3,0.4
0.5,0.3,0.4
0.501,0.3,0.4
0.502,0.3,0.4
0.503,0.3,0.4
0.504,0.3,0.4
0.505,0.3,0.4
0.506,0.3,0.4
0.507,0.3,0.4
