x,y
0,0
0,0
0,0
0,0
0,0
0,0
time,x,y,x,y,x,y,x,y,x,y,x,y
0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,-5.61663,-16.732,-5.61663,-16.732,5.61663,-16.732,-5.61663,16.732,5.61663,16.732,5.61663,16.732
0.002,5.61664,16.732,5.61664,16.7319,-5.61668,16.732,5.61668,-16.732,-5.61664,-16.7319,-5.61664,-16.732
0.003,5.61664,16.732,5.61664,16.7319,-5.61668,16.732,5.61668,-16.732,-5.61664,-16.7319,-5.61664,-16.732
0.004,-5.61663,16.732,-5.61663,16.732,5.61663,16.732,-5.61663,-16.732,5.61663,-16.732,5.61663,-16.732
0.005,-5.61669,-16.7319,-5.61669,-16.7319,5.61669,-16.7319,-5.61669,16.7319,5.61669,16.7319,5.61669,16.7319
0.006,5.61671,-16.7319,5.61671,-16.7318,-5.61674,-16.7319,5.61674,16.7319,-5.61671,16.7318,-5.61671,16.7319
0.007,5.61671,-16.7319,5.61671,-16.7318,-5.61674,-16.7319,5.61674,16.7319,-5.61671,16.7318,-5.61671,16.7319
0.008,-5.61669,-16.7319,-5.61669,-16.7319,5.61669,-16.7319,-5.61669,16.7319,5.61669,16.7319,5.61669,16.7319
0.009,-5.61663,-16.732,-5.61663,-16.732,5.61663,-16.732,-5.61663,16.732,5.61663,16.732,5.61663,16.732
0.01,5.61671,16.7319,5.61671,16.7318,-5.61674,16.7319,5.61674,-16.7319,-5.61671,-16.7318,-5.61671,-16.7319
0.011,5.61677,16.7318,5.61677,16.7318,-5.6168,16.7318,5.6168,-16.7318,-5.61677,-16.7318,-5.61677,-16.7318
0.012,-5.61681,16.7317,-5.61681,16.7317,5.61681,16.7317,-5.61681,-16.7317,5.61681,-16.7317,5.61681,-16.7317
0.013,-5.61681,16.7317,-5.61681,16.7317,5.61681,16.7317,-5.61681,-16.7317,5.61681,-16.7317,5.61681,-16.7317
0.014,5.61677,16.7318,5.61677,16.7318,-5.6168,16.7318,5.6168,-16.7318,-5.61677,-16.7318,-5.61677,-16.7318
0.015,5.61671,16.7319,5.61671,16.7318,-5.61674,16.7319,5.61674,-16.7319,-5.61671,-16.7318,-5.61671,-16.7319
0.016,-5.61663,16.732,-5.61663,16.732,5.61663,16.732,-5.61663,-16.732,5.61663,-16.732,5.61663,-16.732
0.017,-5.61675,-16.7318,-5.61675,-16.7318,5.61675,-16.7318,-5.61675,16.7318,5.61675,16.7318,5.61675,16.7318
0.018,5.61683,-16.7317,5.61683,-16.7317,-5.61686,-16.7317,5.61686,16.7317,-5.61683,16.7317,-5.61683,16.7317
0.019,5.61689,-16.7316,5.61689,-16.7316,-5.61693,-16.7316,5.61693,16.7316,-5.61689,16.7316,-5.61689,16.7316
0.02,-5.61694,-16.7315,-5.61694,-16.7315,5.61694,-16.7315,-5.61694,16.7315,5.61694,16.7315,5.61694,16.7315
0.021,-5.61694,-16.7315,-5.61694,-16.7315,5.61694,-16.7315,-5.61694,16.7315,5.61694,16.7315,5.61694,16.7315
0.022,5.61689,-16.7316,5.61689,-16.7316,-5.61693,-16.7316,5.61693,16.7316,-5.61689,16.7316,-5.61689,16.7316
0.023,5.61683,-16.7317,5.61683,-16.7317,-5.61686,-16.7317,5.61686,16.7317,-5.61683,16.7317,-5.61683,16.7317
0.024,-5.61675,-16.7318,-5.61675,-16.7318,5.61675,-16.7318,-5.61675,16.7318,5.61675,16.7318,5.61675,16.7318
0.025,-5.61663,-16.732,-5.61663,-16.732,5.61663,-16.732,-5.61663,16.732,5.61663,16.732,5.61663,16.732
0.026,5.61677,16.7318,5.61677,16.7318,-5.6168,16.7318,5.6168,-16.7318,-5.61677,-16.7318,-5.61677,-16.7318
0.027,5.61689,16.7316,5.61689,16.7316,-5.61693,16.7316,5.61693,-16.7316,-5.61689,-16.7316,-5.61689,-16.7316
0.028,-5.617,16.7314,-5.617,16.7314,5.617,16.7314,-5.617,-16.7314,5.617,-16.7314,5.617,-16.7314
0.029,-5.61706,16.7314,-5.61706,16.7314,5.61706,16.7314,-5.61706,-16.7314,5.61706,-16.7314,5.61706,-16.7314
0.03,5.61708,16.7313,5.61708,16.7313,-5.61711,16.7313,5.61711,-16.7313,-5.61708,-16.7313,-5.61708,-16.7313
0.031,5.61708,16.7313,5.61708,16.7313,-5.61711,16.7313,5.61711,-16.7313,-5.61708,-16.7313,-5.61708,-16.7313
0.032,-5.61706,16.7314,-5.61706,16.7314,5.61706,16.7314,-5.61706,-16.7314,5.61706,-16.7314,5.61706,-16.7314
0.033,-5.617,16.7314,-5.617,16.7314,5.617,16.7314,-5.617,-16.7314,5.617,-16.7314,5.617,-16.7314
0.034,5.61689,16.7316,5.61689,16.7316,-5.61693,16.7316,5.61693,-16.7316,-5.61689,-16.7316,-5.61689,-16.7316
0.035,5.61677,16.7318,5.61677,16.7318,-5.6168,16.7318,5.6168,-16.7318,-5.61677,-16.7318,-5.61677,-16.7318
0.036,-5.61663,16.732,-5.61663,16.732,5.61663,16.732,-5.61663,-16.732,5.61663,-16.732,5.61663,-16.732
0.037,-5.61681,-16.7317,-5.61681,-16.7317,5.61681,-16.7317,-5.61681,16.7317,5.61681,16.7317,5.61681,16.7317
0.038,5.61696,-16.7315,5.61696,-16.7315,-5.61699,-16.7315,5.61699,16.7315,-5.61696,16.7315,-5.61696,16.7315
0.039,5.61708,-16.7313,5.61708,-16.7313,-5.61711,-16.7313,5.61711,16.7313,-5.61708,16.7313,-5.61708,16.7313
0.04,-5.61719,-16.7312,-5.61719,-16.7312,5.61719,-16.7312,-5.61719,16.7312,5.61719,16.7312,5.61719,16.7312
0.041,-5.61725,-16.7311,-5.61725,-16.7311,5.61725,-16.7311,-5.61725,16.7311,5.61725,16.7311,5.61725,16.7311
0.042,5.61727,-16.7311,5.61727,-16.731,-5.6173,-16.731,5.6173,16.731,-5.61727,16.731,-5.61727,16.7311
0.043,5.61727,-16.7311,5.61727,-16.731,-5.6173,-16.731,5.6173,16.731,-5.61727,16.731,-5.61727,16.7311
0.044,-5.61725,-16.7311,-5.61725,-16.7311,5.61725,-16.7311,-5.61725,16.7311,5.61725,16.7311,5.61725,16.7311
0.045,-5.61719,-16.7312,-5.61719,-16.7312,5.61719,-16.7312,-5.61719,16.7312,5.61719,16.7312,5.61719,16.7312
0.046,5.61708,-16.7313,5.61708,-16.7313,-5.61711,-16.7313,5.61711,16.7313,-5.61708,16.7313,-5.61708,16.7313
0.047,5.61696,-16.7315,5.61696,-16.7315,-5.61699,-16.7315,5.61699,16.7315,-5.61696,16.7315,-5.61696,16.7315
0.048,-5.61681,-16.7317,-5.61681,-16.7317,5.61681,-16.7317,-5.61681,16.7317,5.61681,16.7317,5.61681,16.7317
0.049,-5.61663,-16.732,-5.61663,-16.732,5.61663,-16.732,-5.61663,16.732,5.61663,16.732,5.61663,16.732
0.05,5.61683,16.7317,5.61683,16.7317,-5.61686,16.7317,5.61686,-16.7317,-5.61683,-16.7317,-5.61683,-16.7317
0.051,5.61702,16.7314,5.61702,16.7314,-5.61705,16.7314,5.61705,-16.7314,-5.61702,-16.7314,-5.61702,-16.7314
0.052,-5.61719,16.7312,-5.61719,16.7312,5.61719,16.7312,-5.61719,-16.7312,5.61719,-16.7312,5.61719,-16.7312
0.053,-5.61731,16.731,-5.61731,16.731,5.61731,16.731,-5.61731,-16.731,5.61731,-16.731,5.61731,-16.731
0.054,5.61739,16.7309,5.61739,16.7308,-5.61742,16.7309,5.61742,-16.7309,-5.61739,-16.7308,-5.61739,-16.7309
0.055,5.61745,16.7308,5.61745,16.7308,-5.61749,16.7308,5.61749,-16.7308,-5.61745,-16.7308,-5.61745,-16.7308
0.056,-5.6175,16.7307,-5.6175,16.7307,5.6175,16.7307,-5.6175,-16.7307,5.6175,-16.7307,5.6175,-16.7307
0.057,-5.6175,16.7307,-5.6175,16.7307,5.6175,16.7307,-5.6175,-16.7307,5.6175,-16.7307,5.6175,-16.7307
0.058,5.61745,16.7308,5.61745,16.7308,-5.61749,16.7308,5.61749,-16.7308,-5.61745,-16.7308,-5.61745,-16.7308
0.059,5.61739,16.7309,5.61739,16.7308,-5.61742,16.7309,5.61742,-16.7309,-5.61739,-16.7308,-5.61739,-16.7309
0.06,-5.61731,16.731,-5.61731,16.731,5.61731,16.731,-5.61731,-16.731,5.61731,-16.731,5.61731,-16.731
0.061,-5.61719,16.7312,-5.61719,16.7312,5.61719,16.7312,-5.61719,-16.7312,5.61719,-16.7312,5.61719,-16.7312
0.062,5.61702,16.7314,5.61702,16.7314,-5.61705,16.7314,5.61705,-16.7314,-5.61702,-16.7314,-5.61702,-16.7314
0.063,5.61683,16.7317,5.61683,16.7317,-5.61686,16.7317,5.61686,-16.7317,-5.61683,-16.7317,-5.61683,-16.7317
0.064,-5.61663,16.732,-5.61663,16.732,5.61663,16.732,-5.61663,-16.732,5.61663,-16.732,5.61663,-16.732
0.065,-5.61688,-16.7316,-5.61688,-16.7316,5.61688,-16.7316,-5.61688,16.7316,5.61688,16.7316,5.61688,16.7316
0.066,5.61708,-16.7313,5.61708,-16.7313,-5.61711,-16.7313,5.61711,16.7313,-5.61708,16.7313,-5.61708,16.7313
0.067,5.61727,-16.7311,5.61727,-16.731,-5.6173,-16.731,5.6173,16.731,-5.61727,16.731,-5.61727,16.7311
0.068,-5.61744,-16.7308,-5.61744,-16.7308,5.61744,-16.7308,-5.61744,16.7308,5.61744,16.7308,5.61744,16.7308
0.069,-5.61756,-16.7306,-5.61756,-16.7306,5.61756,-16.7306,-5.61756,16.7306,5.61756,16.7306,5.61756,16.7306
0.07,5.61764,-16.7305,5.61764,-16.7305,-5.61767,-16.7305,5.61767,16.7305,-5.61764,16.7305,-5.61764,16.7305
0.071,5.6177,-16.7304,5.6177,-16.7304,-5.61773,-16.7304,5.61773,16.7304,-5.6177,16.7304,-5.6177,16.7304
0.072,-5.61775,-16.7304,-5.61775,-16.7304,5.61775,-16.7304,-5.61775,16.7304,5.61775,16.7304,5.61775,16.7304
0.073,-5.61775,-16.7304,-5.61775,-16.7304,5.61775,-16.7304,-5.61775,16.7304,5.61775,16.7304,5.61775,16.7304
0.074,5.6177,-16.7304,5.6177,-16.7304,-5.61773,-16.7304,5.61773,16.7304,-5.6177,16.7304,-5.6177,16.7304
0.075,5.61764,-16.7305,5.61764,-16.7305,-5.61767,-16.7305,5.61767,16.7305,-5.61764,16.7305,-5.61764,16.7305
0.076,-5.61756,-16.7306,-5.61756,-16.7306,5.61756,-16.7306,-5.61756,16.7306,5.61756,16.7306,5.61756,16.7306
0.077,-5.61744,-16.7308,-5.61744,-16.7308,5.61744,-16.7308,-5.61744,16.7308,5.61744,16.7308,5.61744,16.7308
0.078,5.61727,-16.7311,5.61727,-16.731,-5.6173,-16.731,5.6173,16.731,-5.61727,16.731,-5.61727,16.7311
0.079,5.61708,-16.7313,5.61708,-16.7313,-5.61711,-16.7313,5.61711,16.7313,-5.61708,16.7313,-5.61708,16.7313
0.08,-5.61688,-16.7316,-5.61688,-16.7316,5.61688,-16.7316,-5.61688,16.7316,5.61688,16.7316,5.61688,16.7316
0.081,-5.61663,-16.732,-5.61663,-16.732,5.61663,-16.732,-5.61663,16.732,5.61663,16.732,5.61663,16.732
0.082,5.61689,16.7316,5.61689,16.7316,-5.61693,16.7316,5.61693,-16.7316,-5.61689,-16.7316,-5.61689,-16.7316
0.083,5.61714,16.7312,5.61714,16.7312,-5.61717,16.7312,5.61717,-16.7312,-5.61714,-16.7312,-5.61714,-16.7312
0.084,-5.61737,16.7309,-5.61737,16.7309,5.61737,16.7309,-5.61737,-16.7309,5.61737,-16.7309,5.61737,-16.7309
0.085,-5.61756,16.7306,-5.61756,16.7306,5.61756,16.7306,-5.61756,-16.7306,5.61756,-16.7306,5.61756,-16.7306
0.086,5.6177,16.7304,5.6177,16.7304,-5.61773,16.7304,5.61773,-16.7304,-5.6177,-16.7304,-5.6177,-16.7304
0.087,5.61783,16.7303,5.61783,16.7302,-5.61786,16.7302,5.61786,-16.7302,-5.61783,-16.7302,-5.61783,-16.7303
0.088,-5.61793,16.7301,-5.61793,16.7301,5.61793,16.7301,-5.61793,-16.7301,5.61793,-16.7301,5.61793,-16.7301
0.089,-5.618,16.73,-5.618,16.73,5.618,16.73,-5.618,-16.73,5.618,-16.73,5.618,-16.73
0.09,5.61801,16.73,5.61801,16.7299,-5.61805,16.73,5.61805,-16.73,-5.61801,-16.7299,-5.61801,-16.73
0.091,5.61801,16.73,5.61801,16.7299,-5.61805,16.73,5.61805,-16.73,-5.61801,-16.7299,-5.61801,-16.73
0.092,-5.618,16.73,-5.618,16.73,5.618,16.73,-5.618,-16.73,5.618,-16.73,5.618,-16.73
0.093,-5.61793,16.7301,-5.61793,16.7301,5.61793,16.7301,-5.61793,-16.7301,5.61793,-16.7301,5.61793,-16.7301
0.094,5.61783,16.7303,5.61783,16.7302,-5.61786,16.7302,5.61786,-16.7302,-5.61783,-16.7302,-5.61783,-16.7303
0.095,5.6177,16.7304,5.6177,16.7304,-5.61773,16.7304,5.61773,-16.7304,-5.6177,-16.7304,-5.6177,-16.7304
0.096,-5.61756,16.7306,-5.61756,16.7306,5.61756,16.7306,-5.61756,-16.7306,5.61756,-16.7306,5.61756,-16.7306
0.097,-5.61737,16.7309,-5.61737,16.7309,5.61737,16.7309,-5.61737,-16.7309,5.61737,-16.7309,5.61737,-16.7309
0.098,5.61714,16.7312,5.61714,16.7312,-5.61717,16.7312,5.61717,-16.7312,-5.61714,-16.7312,-5.61714,-16.7312
0.099,5.61689,16.7316,5.61689,16.7316,-5.61693,16.7316,5.61693,-16.7316,-5.61689,-16.7316,-5.61689,-16.7316
0.1,-5.61663,16.732,-5.61663,16.732,5.61663,16.732,-5.61663,-16.732,5.61663,-16.732,5.61663,-16.732
0.101,-5.61694,-16.7315,-5.61694,-16.7315,5.61694,-16.7315,-5.61694,16.7315,5.61694,16.7315,5.61694,16.7315
0.102,5.6172,-16.7312,5.6172,-16.7311,-5.61724,-16.7311,5.61724,16.7311,-5.6172,16.7311,-5.6172,16.7312
0.103,5.61745,-16.7308,5.61745,-16.7308,-5.61749,-16.7308,5.61749,16.7308,-5.61745,16.7308,-5.61745,16.7308
0.104,-5.61768,-16.7304,-5.61768,-16.7304,5.61768,-16.7304,-5.61768,16.7304,5.61768,16.7304,5.61768,16.7304
0.105,-5.61787,-16.7302,-5.61787,-16.7302,5.61787,-16.7302,-5.61787,16.7302,5.61787,16.7302,5.61787,16.7302
0.106,5.61801,-16.73,5.61801,-16.7299,-5.61805,-16.73,5.61805,16.73,-5.61801,16.7299,-5.61801,16.73
0.107,5.61814,-16.7298,5.61814,-16.7298,-5.61817,-16.7298,5.61817,16.7298,-5.61814,16.7298,-5.61814,16.7298
0.108,-5.61824,-16.7296,-5.61824,-16.7296,5.61824,-16.7296,-5.61824,16.7296,5.61824,16.7296,5.61824,16.7296
0.109,-5.61831,-16.7295,-5.61831,-16.7295,5.61831,-16.7295,-5.61831,16.7295,5.61831,16.7295,5.61831,16.7295
0.11,5.61832,-16.7295,5.61832,-16.7295,-5.61836,-16.7295,5.61836,16.7295,-5.61832,16.7295,-5.61832,16.7295
0.111,5.61832,-16.7295,5.61832,-16.7295,-5.61836,-16.7295,5.61836,16.7295,-5.61832,16.7295,-5.61832,16.7295
0.112,-5.61831,-16.7295,-5.61831,-16.7295,5.61831,-16.7295,-5.61831,16.7295,5.61831,16.7295,5.61831,16.7295
0.113,-5.61824,-16.7296,-5.61824,-16.7296,5.61824,-16.7296,-5.61824,16.7296,5.61824,16.7296,5.61824,16.7296
0.114,5.61814,-16.7298,5.61814,-16.7298,-5.61817,-16.7298,5.61817,16.7298,-5.61814,16.7298,-5.61814,16.7298
0.115,5.61801,-16.73,5.61801,-16.7299,-5.61805,-16.73,5.61805,16.73,-5.61801,16.7299,-5.61801,16.73
0.116,-5.61787,-16.7302,-5.61787,-16.7302,5.61787,-16.7302,-5.61787,16.7302,5.61787,16.7302,5.61787,16.7302
0.117,-5.61768,-16.7304,-5.61768,-16.7304,5.61768,-16.7304,-5.61768,16.7304,5.61768,16.7304,5.61768,16.7304
0.118,5.61745,-16.7308,5.61745,-16.7308,-5.61749,-16.7308,5.61749,16.7308,-5.61745,16.7308,-5.61745,16.7308
0.119,5.6172,-16.7312,5.6172,-16.7311,-5.61724,-16.7311,5.61724,16.7311,-5.6172,16.7311,-5.6172,16.7312
0.12,-5.61694,-16.7315,-5.61694,-16.7315,5.61694,-16.7315,-5.61694,16.7315,5.61694,16.7315,5.61694,16.7315
0.121,-5.61663,-16.732,-5.61663,-16.732,5.61663,-16.732,-5.61663,16.732,5.61663,16.732,5.61663,16.732
0.122,5.61696,16.7315,5.61696,16.7315,-5.61699,16.7315,5.61699,-16.7315,-5.61696,-16.7315,-5.61696,-16.7315
0.123,5.61727,16.7311,5.61727,16.731,-5.6173,16.731,5.6173,-16.731,-5.61727,-16.731,-5.61727,-16.7311
0.124,-5.61756,16.7306,-5.61756,16.7306,5.61756,16.7306,-5.61756,-16.7306,5.61756,-16.7306,5.61756,-16.7306
0.125,-5.61781,16.7303,-5.61781,16.7303,5.61781,16.7303,-5.61781,-16.7303,5.61781,-16.7303,5.61781,-16.7303
0.126,5.61801,16.73,5.61801,16.7299,-5.61805,16.73,5.61805,-16.73,-5.61801,-16.7299,-5.61801,-16.73
0.127,5.6182,16.7297,5.6182,16.7297,-5.61823,16.7297,5.61823,-16.7297,-5.6182,-16.7297,-5.6182,-16.7297
0.128,-5.61837,16.7295,-5.61837,16.7295,5.61837,16.7295,-5.61837,-16.7295,5.61837,-16.7295,5.61837,-16.7295
0.129,-5.61849,16.7293,-5.61849,16.7293,5.61849,16.7293,-5.61849,-16.7293,5.61849,-16.7293,5.61849,-16.7293
0.13,5.61857,16.7292,5.61857,16.7291,-5.6186,16.7291,5.6186,-16.7291,-5.61857,-16.7291,-5.61857,-16.7292
0.131,5.61863,16.7291,5.61863,16.729,-5.61867,16.7291,5.61867,-16.7291,-5.61863,-16.729,-5.61863,-16.7291
0.132,-5.61868,16.729,-5.61868,16.729,5.61868,16.729,-5.61868,-16.729,5.61868,-16.729,5.61868,-16.729
0.133,-5.61868,16.729,-5.61868,16.729,5.61868,16.729,-5.61868,-16.729,5.61868,-16.729,5.61868,-16.729
0.134,5.61863,16.7291,5.61863,16.729,-5.61867,16.7291,5.61867,-16.7291,-5.61863,-16.729,-5.61863,-16.7291
0.135,5.61857,16.7292,5.61857,16.7291,-5.6186,16.7291,5.6186,-16.7291,-5.61857,-16.7291,-5.61857,-16.7292
0.136,-5.61849,16.7293,-5.61849,16.7293,5.61849,16.7293,-5.61849,-16.7293,5.61849,-16.7293,5.61849,-16.7293
0.137,-5.61837,16.7295,-5.61837,16.7295,5.61837,16.7295,-5.61837,-16.7295,5.61837,-16.7295,5.61837,-16.7295
0.138,5.6182,16.7297,5.6182,16.7297,-5.61823,16.7297,5.61823,-16.7297,-5.6182,-16.7297,-5.6182,-16.7297
0.139,5.61801,16.73,5.61801,16.7299,-5.61805,16.73,5.61805,-16.73,-5.61801,-16.7299,-5.61801,-16.73
0.14,-5.61781,16.7303,-5.61781,16.7303,5.61781,16.7303,-5.61781,-16.7303,5.61781,-16.7303,5.61781,-16.7303
0.141,-5.61756,16.7306,-5.61756,16.7306,5.61756,16.7306,-5.61756,-16.7306,5.61756,-16.7306,5.61756,-16.7306
0.142,5.61727,16.7311,5.61727,16.731,-5.6173,16.731,5.6173,-16.731,-5.61727,-16.731,-5.61727,-16.7311
0.143,5.61696,16.7315,5.61696,16.7315,-5.61699,16.7315,5.61699,-16.7315,-5.61696,-16.7315,-5.61696,-16.7315
