x,y
0,0
0,0
0,0
0,0
0,0
0,0
time,x,y,x,y,x,y,x,y,x,y,x,y
0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,-0.000280831,-0.000836599,-0.000280831,-0.000836599,0.000280831,-0.000836599,-0.000280831,0.000836599,0.000280831,0.000836599,0.000280831,0.000836599
0.002,-0.000280831,-0.0008366,-0.000280831,-0.000836602,0.000280829,-0.000836601,-0.000280829,0.000836601,0.000280831,0.000836602,0.000280831,0.0008366
0.003,0.000280834,0.000836597,0.000280834,0.000836591,-0.000280839,0.000836594,0.000280839,-0.000836594,-0.000280834,-0.000836591,-0.000280834,-0.000836597
0.004,0.000280835,0.00250979,0.000280835,0.00250979,-0.000280841,0.00250979,0.000280841,-0.00250979,-0.000280835,-0.00250979,-0.000280835,-0.00250979
0.005,-0.000280831,0.0025098,-0.000280831,0.00250979,0.000280825,0.0025098,-0.000280825,-0.0025098,0.000280831,-0.00250979,0.000280831,-0.0025098
0.006,-0.00028083,0.000836611,-0.00028083,0.000836605,0.000280822,0.000836608,-0.000280822,-0.000836608,0.00028083,-0.000836605,0.00028083,-0.000836611
0.007,0.00028084,-0.000836578,0.00028084,-0.000836579,-0.000280852,-0.000836578,0.000280852,0.000836578,-0.00028084,0.000836579,-0.00028084,0.000836578
0.008,0.000280841,-0.00250977,0.000280841,-0.00250977,-0.000280854,-0.00250977,0.000280854,0.00250977,-0.000280841,0.00250977,-0.000280841,0.00250977
0.009,-0.000280825,-0.00418296,-0.000280825,-0.00418296,0.000280811,-0.00418296,-0.000280811,0.00418296,0.000280825,0.00418296,0.000280825,0.00418296
0.01,-0.000280821,-0.00418297,-0.000280821,-0.00418297,0.000280806,-0.00418297,-0.000280806,0.00418297,0.000280821,0.00418297,0.000280821,0.00418297
0.011,0.000280853,-0.00250978,0.000280853,-0.00250979,-0.000280871,-0.00250979,0.000280871,0.00250979,-0.000280853,0.00250979,-0.000280853,0.00250978
0.012,0.000280851,-0.000836607,0.000280851,-0.000836615,-0.000280871,-0.000836611,0.000280871,0.000836611,-0.000280851,0.000836615,-0.000280851,0.000836607
0.013,-0.00028083,0.000836565,-0.00028083,0.000836557,0.000280811,0.000836561,-0.000280811,-0.000836561,0.00028083,-0.000836557,0.00028083,-0.000836565
0.014,-0.000280833,0.00250974,-0.000280833,0.00250973,0.000280811,0.00250974,-0.000280811,-0.00250974,0.000280833,-0.00250973,0.000280833,-0.00250974
