x,y
0.0625,0.108253
0.3125,0.108253
0.5625,0.108253
0.1875,0.32476
0.4375,0.32476
0.6875,0.32476
0.0625,0.541266
0.3125,0.541266
0.5625,0.541266
0.1875,0.757772
0.4375,0.757772
0.6875,0.757772
time,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
0,0.0625,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.32476,0.4375,0.32476,0.6875,0.32476,0.0625,0.541266,0.3125,0.541266,0.5625,0.541266,0.1875,0.757772,0.4375,0.757772,0.6875,0.757772
0.001,0.0625,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.32476,0.4375,0.32476,0.6875,0.32476,0.0625,0.541266,0.3125,0.541266,0.5625,0.541266,0.1875,0.757772,0.4375,0.757772,0.6875,0.757772
0.002,0.0624994,0.108251,0.312499,0.108251,0.562502,0.108251,0.1875,0.324758,0.437501,0.324758,0.687501,0.324758,0.0624994,0.541268,0.312499,0.541268,0.562502,0.541268,0.1875,0.757774,0.437501,0.757774,0.687501,0.757774
0.003,0.0625004,0.108251,0.3125,0.108251,0.562503,0.108251,0.187501,0.324758,0.437502,0.324758,0.687502,0.324758,0.0625004,0.541268,0.3125,0.541268,0.562503,0.541268,0.187501,0.757774,0.437502,0.757774,0.687502,0.757774
0.004,0.062503,0.108252,0.312503,0.108252,0.562503,0.108252,0.187503,0.32476,0.437503,0.32476,0.687503,0.32476,0.062503,0.541267,0.312503,0.541267,0.562503,0.541267,0.187503,0.757772,0.437503,0.757772,0.687503,0.757772
0.005,0.0625072,0.108254,0.312505,0.108254,0.562505,0.108254,0.187506,0.324762,0.437503,0.324763,0.687505,0.324761,0.0625072,0.541265,0.312505,0.541265,0.562505,0.541265,0.187506,0.75777,0.437503,0.757769,0.687505,0.757771
0.006,0.0625108,0.108255,0.312509,0.108255,0.562509,0.108255,0.187508,0.324763,0.437505,0.324765,0.687507,0.32476,0.0625108,0.541264,0.312509,0.541264,0.562509,0.541264,0.187508,0.757769,0.437505,0.757767,0.687507,0.757772
0.007,0.0625138,0.108255,0.312512,0.108255,0.562512,0.108255,0.187511,0.324761,0.437509,0.324765,0.687511,0.324758,0.0625138,0.541264,0.312512,0.541264,0.562512,0.541264,0.187511,0.75777,0.437509,0.757767,0.687511,0.757774
0.008,0.0625162,0.108253,0.312514,0.108253,0.562514,0.108253,0.187517,0.32476,0.437514,0.324763,0.687516,0.324756,0.0625162,0.541266,0.312514,0.541266,0.562514,0.541266,0.187517,0.757772,0.437514,0.757769,0.687516,0.757776
0.009,0.0625179,0.108252,0.312518,0.108252,0.562518,0.108252,0.187522,0.324757,0.437521,0.324761,0.687521,0.324756,0.0625179,0.541267,0.312518,0.541267,0.562518,0.541267,0.187522,0.757774,0.437521,0.757771,0.687521,0.757776
0.01,0.0625213,0.108253,0.312524,0.108253,0.562523,0.108253,0.187526,0.324757,0.437528,0.324759,0.687525,0.324758,0.0625213,0.541266,0.312524,0.541266,0.562523,0.541266,0.187526,0.757775,0.437528,0.757773,0.687525,0.757774
0.011,0.0625262,0.108252,0.312531,0.108252,0.562531,0.108252,0.18753,0.324758,0.437534,0.324758,0.687529,0.324761,0.0625262,0.541267,0.312531,0.541267,0.562531,0.541267,0.18753,0.757774,0.437534,0.757773,0.687529,0.757771
0.012,0.0625328,0.108253,0.312538,0.108253,0.562537,0.108253,0.187536,0.324761,0.43754,0.324759,0.687535,0.324764,0.0625328,0.541266,0.312538,0.541266,0.562537,0.541266,0.187536,0.757771,0.43754,0.757773,0.687535,0.757768
0.013,0.062541,0.108255,0.312544,0.108255,0.562543,0.108255,0.187544,0.324762,0.437545,0.324759,0.687543,0.324765,0.062541,0.541264,0.312544,0.541264,0.562543,0.541264,0.187544,0.75777,0.437545,0.757773,0.687543,0.757767
0.014,0.0625509,0.108255,0.312549,0.108255,0.562551,0.108255,0.187551,0.324761,0.43755,0.324758,0.687552,0.324764,0.0625509,0.541264,0.312549,0.541264,0.562551,0.541264,0.187551,0.757771,0.43755,0.757773,0.687552,0.757768
0.015,0.0625601,0.108254,0.312557,0.108254,0.562558,0.108254,0.18756,0.324759,0.437556,0.324758,0.687561,0.324762,0.0625601,0.541265,0.312557,0.541265,0.562558,0.541265,0.18756,0.757773,0.437556,0.757774,0.687561,0.75777
0.016,0.0625687,0.108252,0.312565,0.108252,0.562566,0.108252,0.187568,0.324757,0.437565,0.324757,0.687569,0.324758,0.0625687,0.541267,0.312565,0.541267,0.562566,0.541267,0.187568,0.757775,0.437565,0.757774,0.687569,0.757774
