x,y
0.01,0.108253
time,x,y
0,0.01,0.108253
0.001,0.01,0.0360842
0.002,0.0100001,0.0360842
0.003,0.0100004,0.0360842
0.004,0.0100008,0.0360842
0.005,0.0100014,0.0360842
0.006,0.0100021,0.0360842
0.007,0.0100029,0.0360842
0.008,0.0100039,0.0360842
0.009,0.010005,0.0360842
0.01,0.0100063,0.0360842
0.011,0.0100077,0.0360842
0.012,0.0100092,0.0360842
0.013,0.0100109,0.0360842
0.014,0.0100127,0.0360842
0.015,0.0100147,0.0360842
0.016,0.0100168,0.0360842
0.017,0.010019,0.0360842
0.018,0.0100214,0.0360842
0.019,0.0100239,0.0360842
0.02,0.0100265,0.0360842
0.021,0.0100293,0.0360842
0.022,0.0100323,0.0360842
0.023,0.0100353,0.0360842
0.024,0.0100385,0.0360842
0.025,0.0100419,0.0360842
0.026,0.0100454,0.0360842
0.027,0.010049,0.0360842
0.028,0.0100528,0.0360842
0.029,0.0100567,0.0360842
0.03,0.0100607,0.0360842
0.031,0.0100649,0.0360842
0.032,0.0100693,0.0360842
0.033,0.0100737,0.0360842
0.034,0.0100783,0.0360842
0.035,0.0100831,0.0360842
0.036,0.010088,0.0360842
0.037,0.010093,0.0360842
0.038,0.0100982,0.0360842
0.039,0.0101035,0.0360842
0.04,0.0101089,0.0360842
0.041,0.0101145,0.0360842
0.042,0.0101202,0.0360842
0.043,0.0101261,0.0360842
0.044,0.0101321,0.0360842
0.045,0.0101382,0.0360842
0.046,0.0101445,0.0360842
0.047,0.010151,0.0360842
0.048,0.0101575,0.0360842
0.049,0.0101642,0.0360842
0.05,0.0101711,0.0360842
0.051,0.010178,0.0360842
0.052,0.0101852,0.0360842
0.053,0.0101924,0.0360842
0.054,0.0101998,0.0360842
0.055,0.0102074,0.0360842
0.056,0.010215,0.0360842
0.057,0.0102229,0.0360842
0.058,0.0102308,0.0360842
0.059,0.0102389,0.0360842
0.06,0.0102472,0.0360842
0.061,0.0102555,0.0360842
0.062,0.0102641,0.0360842
0.063,0.0102727,0.0360842
0.064,0.0102815,0.0360842
0.065,0.0102905,0.0360842
0.066,0.0102995,0.0360842
0.067,0.0103087,0.0360842
0.068,0.0103181,0.0360842
0.069,0.0103276,0.0360842
0.07,0.0103372,0.0360842
0.071,0.010347,0.0360842
0.072,0.0103569,0.0360842
0.073,0.010367,0.0360842
0.074,0.0103772,0.0360842
0.075,0.0103875,0.0360842
0.076,0.010398,0.0360842
0.077,0.0104086,0.0360842
0.078,0.0104193,0.0360842
0.079,0.0104302,0.0360842
0.08,0.0104413,0.0360842
0.081,0.0104524,0.0360842
0.082,0.0104638,0.0360842
0.083,0.0104752,0.0360842
0.084,0.0104868,0.0360842
0.085,0.0104985,0.0360842
0.086,0.0105104,0.0360842
0.087,0.0105224,0.0360842
0.088,0.0105345,0.0360842
0.089,0.0105468,0.0360842
