time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
0,0.0625,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.32476,0.4375,0.32476,0.6875,0.32476,0.0625,0.541266,0.3125,0.541266,0.5625,0.541266,0.1875,0.757772,0.4375,0.757772,0.6875,0.757772
0.001,0.0625,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.32476,0.4375,0.32476,0.6875,0.32476,0.0625,0.541266,0.3125,0.541266,0.5625,0.541266,0.1875,0.757772,0.4375,0.757772,0.6875,0.757772
0.002,0.0624999,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.324759,0.4375,0.324759,0.6875,0.324759,0.0624999,0.541266,0.3125,0.541266,0.5625,0.541266,0.1875,0.757772,0.4375,0.757772,0.6875,0.757772
0.003,0.0625,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.324759,0.4375,0.324759,0.6875,0.324759,0.0625,0.541266,0.3125,0.541266,0.5625,0.541266,0.1875,0.757772,0.4375,0.757772,0.6875,0.757772
0.004,0.0625002,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.32476,0.4375,0.32476,0.6875,0.32476,0.0625002,0.541266,0.3125,0.541266,0.5625,0.541266,0.1875,0.757772,0.4375,0.757772,0.6875,0.757772
0.005,0.0625004,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.32476,0.4375,0.32476,0.6875,0.32476,0.0625004,0.541266,0.3125,0.541266,0.5625,0.541266,0.1875,0.757772,0.4375,0.757772,0.6875,0.757772
0.006,0.0625005,0.108253,0.3125,0.108253,0.562501,0.108253,0.1875,0.324759,0.437501,0.324759,0.687501,0.324759,0.0625005,0.541266,0.3125,0.541266,0.562501,0.541266,0.1875,0.757772,0.437501,0.757772,0.687501,0.757772
0.007,0.0625007,0.108253,0.312501,0.108253,0.562501,0.108253,0.187501,0.324759,0.437501,0.324759,0.687501,0.324759,0.0625007,0.541266,0.312501,0.541266,0.562501,0.541266,0.187501,0.757772,0.437501,0.757772,0.687501,0.757772
0.008,0.0625011,0.108253,0.312501,0.108253,0.562501,0.108253,0.187501,0.32476,0.437501,0.32476,0.687501,0.32476,0.0625011,0.541266,0.312501,0.541266,0.562501,0.541266,0.187501,0.757772,0.437501,0.757772,0.687501,0.757772
0.009,0.0625014,0.108253,0.312501,0.108253,0.562501,0.108253,0.187501,0.32476,0.437501,0.32476,0.687501,0.32476,0.0625014,0.541266,0.312501,0.541266,0.562501,0.541266,0.187501,0.757772,0.437501,0.757772,0.687501,0.757772
0.01,0.0625017,0.108253,0.312502,0.108253,0.562502,0.108253,0.187502,0.324759,0.437502,0.324759,0.687502,0.324759,0.0625017,0.541266,0.312502,0.541266,0.562502,0.541266,0.187502,0.757772,0.437502,0.757772,0.687502,0.757772
0.011,0.0625021,0.108253,0.312502,0.108253,0.562502,0.108253,0.187502,0.324759,0.437502,0.324759,0.687502,0.324759,0.0625021,0.541266,0.312502,0.541266,0.562502,0.541266,0.187502,0.757772,0.437502,0.757772,0.687502,0.757772
0.012,0.0625026,0.108253,0.312503,0.108253,0.562503,0.108253,0.187503,0.32476,0.437503,0.32476,0.687503,0.32476,0.0625026,0.541266,0.312503,0.541266,0.562503,0.541266,0.187503,0.757772,0.437503,0.757772,0.687503,0.757772
0.013,0.0625031,0.108253,0.312503,0.108253,0.562503,0.108253,0.187503,0.32476,0.437503,0.32476,0.687503,0.32476,0.0625031,0.541266,0.312503,0.541266,0.562503,0.541266,0.187503,0.757772,0.437503,0.757772,0.687503,0.757772
0.014,0.0625035,0.108253,0.312504,0.108253,0.562504,0.108253,0.187504,0.324759,0.437504,0.324759,0.687504,0.324759,0.0625035,0.541266,0.312504,0.541266,0.562504,0.541266,0.187504,0.757772,0.437504,0.757772,0.687504,0.757772
0.015,0.0625041,0.108253,0.312504,0.108253,0.562504,0.108253,0.187504,0.324759,0.437504,0.324759,0.687504,0.324759,0.0625041,0.541266,0.312504,0.541266,0.562504,0.541266,0.187504,0.757772,0.437504,0.757772,0.687504,0.757772
0.016,0.0625048,0.108253,0.312505,0.108253,0.562505,0.108253,0.187505,0.32476,0.437505,0.32476,0.687505,0.32476,0.0625048,0.541266,0.312505,0.541266,0.562505,0.541266,0.187505,0.757772,0.437505,0.757772,0.687505,0.757772
0.017,0.0625054,0.108253,0.312505,0.108253,0.562505,0.108253,0.187505,0.32476,0.437505,0.32476,0.687505,0.32476,0.0625054,0.541266,0.312505,0.541266,0.562505,0.541266,0.187505,0.757772,0.437505,0.757772,0.687505,0.757772
