time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
0,0.0625,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.32476,0.4375,0.32476,0.6875,0.32476
0.001,0.0625,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.32476,0.4375,0.32476,0.6875,0.32476
0.002,0.0625001,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.32476,0.4375,0.32476,0.6875,0.32476
0.003,0.0625002,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.32476,0.4375,0.32476,0.6875,0.32476
0.004,0.0625004,0.108253,0.3125,0.108253,0.5625,0.108253,0.1875,0.32476,0.4375,0.32476,0.6875,0.32476
0.005,0.0625007,0.108254,0.3125,0.108254,0.562501,0.108254,0.1875,0.324761,0.4375,0.32476,0.687501,0.32476
0.006,0.062501,0.108254,0.3125,0.108254,0.562501,0.108254,0.187501,0.324761,0.4375,0.32476,0.687501,0.324761
0.007,0.0625013,0.108255,0.3125,0.108255,0.562501,0.108255,0.187501,0.324761,0.437501,0.324761,0.687502,0.324761
0.008,0.0625017,0.108255,0.312501,0.108255,0.562501,0.108255,0.187502,0.324762,0.437501,0.324762,0.687502,0.324761
0.009,0.0625022,0.108256,0.312501,0.108255,0.562502,0.108255,0.187502,0.324762,0.437501,0.324762,0.687503,0.324762
0.01,0.0625027,0.108256,0.312501,0.108256,0.562502,0.108256,0.187502,0.324763,0.437501,0.324763,0.687503,0.324763
0.011,0.0625033,0.108257,0.312501,0.108257,0.562503,0.108257,0.187503,0.324763,0.437502,0.324764,0.687504,0.324763
0.012,0.0625039,0.108257,0.312501,0.108257,0.562503,0.108257,0.187503,0.324764,0.437502,0.324765,0.687505,0.324764
0.013,0.0625046,0.108258,0.312501,0.108258,0.562504,0.108258,0.187504,0.324765,0.437503,0.324765,0.687505,0.324765
0.014,0.0625053,0.108259,0.312501,0.108259,0.562505,0.108259,0.187504,0.324766,0.437503,0.324766,0.687506,0.324765
0.015,0.0625061,0.10826,0.312502,0.10826,0.562505,0.10826,0.187505,0.324767,0.437504,0.324767,0.687507,0.324766
0.016,0.062507,0.108261,0.312502,0.10826,0.562506,0.108261,0.187506,0.324768,0.437504,0.324768,0.687508,0.324767
0.017,0.0625079,0.108262,0.312502,0.108261,0.562507,0.108261,0.187507,0.324769,0.437505,0.324768,0.687509,0.324768
0.018,0.0625088,0.108263,0.312502,0.108263,0.562507,0.108262,0.187508,0.32477,0.437506,0.324769,0.68751,0.324769
0.019,0.0625098,0.108264,0.312502,0.108264,0.562508,0.108263,0.187509,0.324771,0.437506,0.32477,0.687511,0.324771
0.02,0.0625109,0.108265,0.312503,0.108265,0.562509,0.108265,0.18751,0.324772,0.437507,0.324771,0.687512,0.324772
0.021,0.062512,0.108267,0.312503,0.108266,0.56251,0.108266,0.187511,0.324773,0.437508,0.324772,0.687514,0.324773
0.022,0.0625132,0.108268,0.312503,0.108267,0.562512,0.108267,0.187512,0.324774,0.437509,0.324774,0.687515,0.324774
0.023,0.0625144,0.108269,0.312503,0.108268,0.562513,0.108268,0.187513,0.324776,0.437509,0.324775,0.687516,0.324776
0.024,0.0625157,0.10827,0.312504,0.108269,0.562514,0.10827,0.187514,0.324777,0.43751,0.324777,0.687518,0.324777
0.025,0.062517,0.108271,0.312504,0.10827,0.562516,0.108271,0.187515,0.324778,0.437511,0.324778,0.687519,0.324778
0.026,0.0625184,0.108273,0.312504,0.108272,0.562517,0.108273,0.187516,0.32478,0.437512,0.32478,0.687521,0.32478
0.027,0.0625198,0.108274,0.312504,0.108273,0.562518,0.108274,0.187517,0.324781,0.437513,0.324781,0.687523,0.324781
0.028,0.0625213,0.108276,0.312505,0.108275,0.56252,0.108276,0.187519,0.324783,0.437514,0.324783,0.687524,0.324782
0.029,0.0625229,0.108278,0.312505,0.108276,0.562521,0.108278,0.18752,0.324784,0.437515,0.324784,0.687526,0.324784
0.03,0.0625245,0.108279,0.312505,0.108278,0.562522,0.10828,0.187522,0.324786,0.437516,0.324786,0.687528,0.324785
0.031,0.0625261,0.108281,0.312506,0.10828,0.562524,0.108281,0.187524,0.324788,0.437517,0.324788,0.68753,0.324787
0.032,0.0625278,0.108283,0.312506,0.108282,0.562525,0.108282,0.187526,0.324789,0.437519,0.324789,0.687532,0.324789
0.033,0.0625296,0.108285,0.312506,0.108283,0.562527,0.108284,0.187527,0.324791,0.43752,0.324791,0.687534,0.324792
0.034,0.0625314,0.108286,0.312507,0.108286,0.562528,0.108285,0.187529,0.324793,0.437521,0.324793,0.687536,0.324794
