time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0.818122,-1.6732,-0.132541,-1.6732,0.921798,-1.6732,1.51017,1.73755,-0.503279,1.71832,-0.481571,1.60295
0.002,0.817713,1.67404,-0.132475,1.67404,0.921338,1.67404,1.50941,2.60313,-0.503026,2.5842,-0.48133,2.46788
0.003,0.816895,1.67404,-0.132343,1.67404,0.920419,1.67404,1.5079,2.60096,-0.502523,2.58204,-0.480848,2.46584
0.004,0.816078,1.67235,-0.132212,1.67236,0.9195,1.67236,1.50639,2.59835,-0.50202,2.57946,-0.480368,2.46337
0.005,0.815261,1.67066,-0.13208,1.67068,0.918584,1.67068,1.50488,2.59575,-0.501518,2.57687,-0.479889,2.4609
0.006,0.814446,1.66897,-0.13195,1.669,0.917669,1.669,1.50337,2.59315,-0.501017,2.57429,-0.47941,2.45844
0.007,0.813631,1.66727,-0.131819,1.66732,0.916755,1.66732,1.50186,2.59055,-0.500516,2.57171,-0.478932,2.45597
0.008,0.812817,1.66556,-0.131689,1.66564,0.915844,1.66564,1.50035,2.58795,-0.500016,2.56913,-0.478455,2.4535
0.009,0.812004,1.66385,-0.131559,1.66396,0.914934,1.66396,1.49884,2.58535,-0.499517,2.56655,-0.477979,2.45104
0.01,0.811192,1.66213,-0.131429,1.66228,0.914026,1.66227,1.49733,2.58276,-0.499018,2.56397,-0.477504,2.44858
0.011,0.81038,1.66041,-0.1313,1.6606,0.913119,1.66059,1.49582,2.58017,-0.49852,2.5614,-0.47703,2.44611
0.012,0.80957,1.65868,-0.131171,1.65892,0.912214,1.6589,1.49431,2.57758,-0.498023,2.55882,-0.476556,2.44365
0.013,0.80876,1.65695,-0.131043,1.65723,0.911311,1.65722,1.4928,2.57499,-0.497527,2.55625,-0.476084,2.44119
0.014,0.807952,1.65521,-0.130915,1.65555,0.91041,1.65553,1.49129,2.5724,-0.497031,2.55368,-0.475612,2.43873
0.015,0.807144,1.65346,-0.130787,1.65386,0.90951,1.65385,1.48979,2.56981,-0.496535,2.55111,-0.475141,2.43628
0.016,0.806337,1.65171,-0.130659,1.65218,0.908612,1.65216,1.48828,2.56723,-0.496041,2.54854,-0.474671,2.43382
0.017,0.805531,1.64996,-0.130532,1.65049,0.907715,1.65047,1.48677,2.56464,-0.495547,2.54598,-0.474201,2.43136
0.018,0.804725,1.64819,-0.130405,1.6488,0.90682,1.64878,1.48527,2.56206,-0.495053,2.54341,-0.473733,2.42891
0.019,0.803921,1.64643,-0.130279,1.64711,0.905927,1.64709,1.48376,2.55948,-0.494561,2.54085,-0.473266,2.42645
0.02,0.803117,1.64465,-0.130153,1.64542,0.905036,1.6454,1.48226,2.5569,-0.494069,2.53829,-0.472799,2.424
0.021,0.802315,1.64287,-0.130027,1.64373,0.904146,1.6437,1.48075,2.55433,-0.493577,2.53573,-0.472333,2.42155
0.022,0.801513,1.64109,-0.129901,1.64204,0.903258,1.64201,1.47925,2.55175,-0.493087,2.53317,-0.471868,2.4191
0.023,0.800712,1.6393,-0.129776,1.64035,0.902371,1.64032,1.47775,2.54918,-0.492597,2.53061,-0.471404,2.41665
