lorentzForce,siteDistance,vAve
1.80,-0.50,0.0500092
1.80,-1.00,0.0500769
1.80,-1.50,0.0500053
1.80,-2.00,0.0451177
1.80,0.00,0.0500451
1.80,0.50,0.0500439
1.80,1.00,0.0499957
1.80,1.50,0.0500791
1.80,2.00,0.0500166
1.90,-0.50,0.0500134
1.90,-1.00,0.0500553
1.90,-1.50,0.372828
1.90,-2.00,0.0566419
1.90,0.00,0.050054
1.90,0.50,0.0500436
1.90,1.00,0.0499992
1.90,1.50,-0.349941
1.90,2.00,0.0500723
2.00,-0.50,0.450015
2.00,-1.00,0.162006
2.00,-1.50,0.0521506
2.00,-2.00,-0.0279642
2.00,0.00,0.0500891
2.00,0.50,-0.349935
2.00,1.00,-0.124493
2.00,1.50,0.0512739
2.00,2.00,0.0501038
