lorentzForce,siteDistance,vAve
1.80,-0.00,-0.0750553
1.80,-0.10,-0.0749969
1.80,-0.20,-0.0750709
1.80,-0.30,-0.0750004
1.80,-0.40,-0.0750053
1.80,-0.50,-0.0750152
1.80,-0.60,-0.0750322
1.80,-0.70,-0.0750732
1.80,-0.80,-0.0750026
1.80,-0.90,-0.0750432
1.80,-1.00,-0.0749989
1.80,0.10,-0.0750019
1.80,0.20,-0.0750512
1.80,0.30,-0.0750325
1.80,0.40,-0.0750242
1.80,0.50,-0.0750647
1.80,0.60,-0.0750785
1.80,0.70,-0.0750693
1.80,0.80,-0.0750457
1.80,0.90,-0.075007
1.80,1.00,-0.0750468
1.82,-0.00,-0.0750018
1.82,-0.10,-0.0750229
1.82,-0.20,-0.0750714
1.82,-0.30,-0.0750371
1.82,-0.40,-0.0750621
1.82,-0.50,-0.0750261
1.82,-0.60,-0.0750177
1.82,-0.70,-0.075078
1.82,-0.80,-0.0750686
1.82,-0.90,-0.0750938
1.82,-1.00,-0.0750742
1.82,0.10,-0.0750614
1.82,0.20,-0.0750236
1.82,0.30,-0.0750102
1.82,0.40,-0.0750054
1.82,0.50,-0.0750481
1.82,0.60,-0.0750636
1.82,0.70,-0.0750554
1.82,0.80,-0.0750326
1.82,0.90,-0.0749944
1.82,1.00,-0.0750346
1.84,-0.00,-0.0750536
1.84,-0.10,-0.075055
1.84,-0.20,-0.0750658
1.84,-0.30,-0.0750814
1.84,-0.40,-0.0750192
1.84,-0.50,-0.0750426
1.84,-0.60,-0.0750041
1.84,-0.70,-0.0750874
1.84,-0.80,-0.0750502
1.84,-0.90,-0.0750418
1.84,-1.00,-0.0750906
1.84,0.10,-0.075026
1.84,0.20,-0.0749963
1.84,0.30,-0.0750882
1.84,0.40,-0.0750868
1.84,0.50,-0.0750318
1.84,0.60,-0.0750488
1.84,0.70,-0.0750418
1.84,0.80,-0.0750197
1.84,0.90,-0.0750821
1.84,1.00,-0.0750227
1.86,-0.00,-0.0750059
1.86,-0.10,-0.0750817
1.86,-0.20,-0.0750606
1.86,-0.30,-0.075026
1.86,-0.40,-0.075081
1.86,-0.50,-0.0750645
1.86,-0.60,-0.0750035
1.86,-0.70,-0.300074
1.86,-0.80,-0.075046
1.86,-0.90,-0.0750103
1.86,-1.00,-0.0751472
1.86,0.10,-0.0750909
1.86,0.20,-0.0750693
1.86,0.30,-0.0750664
1.86,0.40,-0.0750686
1.86,0.50,-0.0750156
1.86,0.60,-0.0750343
1.86,0.70,-0.0750284
1.86,0.80,-0.0750071
1.86,0.90,-0.07507
1.86,1.00,-0.0750122
1.88,-0.00,-0.0750533
1.88,-0.10,-0.0750143
1.88,-0.20,-0.0750557
1.88,-0.30,-0.0750637
1.88,-0.40,-0.0750302
1.88,-0.50,-0.0750764
1.88,-0.60,-0.0750902
1.88,-0.70,-0.300001
1.88,-0.80,-0.0750606
1.88,-0.90,-0.0751447
1.88,-1.00,-0.0752792
1.88,0.10,-0.075056
1.88,0.20,-0.0750425
1.88,0.30,-0.0750449
1.88,0.40,-0.0750505
1.88,0.50,-0.075
1.88,0.60,-0.07502
1.88,0.70,-0.0750152
1.88,0.80,-0.0750947
1.88,0.90,-0.0750595
1.88,1.00,-0.0750007
1.90,-0.00,-0.0750061
1.90,-0.10,-0.0750417
1.90,-0.20,-0.075051
1.90,-0.30,-0.0750089
1.90,-0.40,-0.0750881
1.90,-0.50,-0.074999
1.90,-0.60,-0.0750774
1.90,-0.70,-0.0750608
1.90,-0.80,-0.0750145
1.90,-0.90,-0.0753573
1.90,-1.00,-0.0752109
1.90,0.10,-0.0750214
1.90,0.20,-0.075016
1.90,0.30,-0.0750237
1.90,0.40,-0.0750326
1.90,0.50,-0.0750845
1.90,0.60,-0.075006
1.90,0.70,-0.0750023
1.90,0.80,-0.0750826
1.90,0.90,-0.0750478
1.90,1.00,-0.0750894
1.92,-0.00,-0.0750591
1.92,-0.10,-0.0750748
1.92,-0.20,-0.075053
1.92,-0.30,-0.0750545
1.92,-0.40,-0.0750464
1.92,-0.50,-0.0750116
1.92,-0.60,-0.300075
1.92,-0.70,-0.0750574
1.92,-0.80,-0.0752482
1.92,-0.90,-0.075539
1.92,-1.00,-0.0750054
1.92,0.10,-0.0750871
1.92,0.20,-0.0750897
1.92,0.30,-0.0750027
1.92,0.40,-0.0750152
1.92,0.50,-0.0750692
1.92,0.60,-0.0750922
1.92,0.70,-0.0750897
1.92,0.80,-0.0750708
1.92,0.90,-0.0750364
1.92,1.00,-0.0750663
1.94,-0.00,-0.0750076
1.94,-0.10,-0.0750028
1.94,-0.20,-0.0750489
1.94,-0.30,-0.0750932
1.94,-0.40,-0.0750049
1.94,-0.50,-0.0750349
1.94,-0.60,-0.300071
1.94,-0.70,-0.0750941
1.94,-0.80,-0.0757456
1.94,-0.90,-0.0750851
1.94,-1.00,-0.0752181
1.94,0.10,-0.0750486
1.94,0.20,-0.0750637
1.94,0.30,-0.075082
1.94,0.40,-0.0749978
1.94,0.50,-0.0750542
1.94,0.60,-0.0750787
1.94,0.70,-0.0750716
1.94,0.80,-0.0750086
1.94,0.90,0.19493
1.94,1.00,0.199941
1.96,-0.00,-0.0750612
1.96,-0.10,-0.0750397
