lorentzForce,siteDistance,vAve
0.50,0.00,-0.0733441
0.50,0.10,-0.0700382
0.50,0.20,-0.0648316
0.50,0.30,-0.0577066
0.50,0.40,-0.0539617
0.50,0.50,-0.0505831
0.50,0.60,-0.0457076
0.50,0.70,-0.0396612
0.50,0.80,-0.0328875
0.50,0.90,-0.0291745
0.50,1.00,-0.0257095
0.55,0.00,-0.0753929
0.55,0.10,-0.0697088
0.55,0.20,-0.062765
0.55,0.30,-0.0587516
0.55,0.40,-0.0548311
0.55,0.50,-0.0498353
0.55,0.60,-0.0441728
0.55,0.70,-0.038032
0.55,0.80,-0.0323197
0.55,0.90,-0.027757
0.55,1.00,-0.0233046
0.60,0.00,-0.0837257
0.60,0.10,-0.0801035
0.60,0.20,-0.0771817
0.60,0.30,-0.0751377
0.60,0.40,-0.0728117
0.60,0.50,-0.0707109
0.60,0.60,-0.0687054
0.60,0.70,-0.0665724
0.60,0.80,-0.0641914
0.60,0.90,-0.0616537
0.60,1.00,-0.0593333
0.65,0.00,-0.0793061
0.65,0.10,-0.0774567
0.65,0.20,-0.0752693
0.65,0.30,-0.0725831
0.65,0.40,-0.0694993
0.65,0.50,-0.0664064
0.65,0.60,-0.0631612
0.65,0.70,-0.0598695
0.65,0.80,-0.056689
0.65,0.90,-0.0536417
0.65,1.00,-0.0508212
0.70,0.00,0.232126
0.70,0.10,0.231034
0.70,0.20,0.232933
0.70,0.30,0.233511
0.70,0.40,0.189361
0.70,0.50,0.180003
0.70,0.60,0.173101
0.70,0.70,0.163615
0.70,0.80,0.159936
0.70,0.90,0.165895
0.70,1.00,0.161192
0.75,0.00,0.0504611
0.75,0.10,0.0492631
0.75,0.20,0.0483318
0.75,0.30,0.0476225
0.75,0.40,0.0469256
0.75,0.50,0.0463972
0.75,0.60,0.0459485
0.75,0.70,0.0461598
0.75,0.80,0.0470783
0.75,0.90,0.0610735
0.75,1.00,0.0632934
0.80,0.00,0.0465977
0.80,0.10,0.0458457
0.80,0.20,0.0450435
0.80,0.30,0.0443654
0.80,0.40,0.0436281
0.80,0.50,0.0431342
0.80,0.60,0.0426825
0.80,0.70,0.0422669
0.80,0.80,0.0419462
0.80,0.90,0.041516
0.80,1.00,0.0413134
0.85,0.00,0.0183757
0.85,0.10,0.0172453
0.85,0.20,0.0163973
0.85,0.30,0.0156037
