lorentzForce,siteDistance,vAve
1.80,-0.00,-0.0500194
1.80,-0.10,-0.0500812
1.80,-0.20,-0.050064
1.80,-0.30,-0.0500901
1.80,-0.40,-0.0500773
1.80,-0.50,-0.0500353
1.80,-0.60,-0.0500846
1.80,-0.70,-0.0500166
1.80,-0.80,-0.050011
1.80,-0.90,-0.0500372
1.80,-1.00,-0.0500788
1.80,0.10,-0.0500664
1.80,0.20,-0.049998
1.80,0.30,-0.0500003
1.80,0.40,-0.0500598
1.80,0.50,-0.0500598
1.80,0.60,-0.0500891
1.80,0.70,-0.0500371
1.80,0.80,-0.0500905
1.80,0.90,-0.0500378
1.80,1.00,-0.0500747
1.82,-0.00,-0.0500152
1.82,-0.10,-0.0500764
1.82,-0.20,-0.0500584
1.82,-0.30,-0.0500839
1.82,-0.40,-0.0500696
1.82,-0.50,-0.0500258
1.82,-0.60,-0.0500726
1.82,-0.70,-0.050001
1.82,-0.80,-0.0500901
1.82,-0.90,-0.0500012
1.82,-1.00,-0.050034
1.82,0.10,-0.0500628
1.82,0.20,-0.0500948
1.82,0.30,-0.0499975
1.82,0.40,-0.0500573
1.82,0.50,-0.0500585
1.82,0.60,-0.050088
1.82,0.70,-0.050034
1.82,0.80,-0.0500881
1.82,0.90,-0.0500368
1.82,1.00,-0.0500743
1.84,-0.00,-0.0500128
1.84,-0.10,-0.0500717
1.84,-0.20,-0.0500529
1.84,-0.30,-0.0500772
1.84,-0.40,-0.0500618
1.84,-0.50,-0.0500164
1.84,-0.60,-0.0500553
1.84,-0.70,-0.0500855
1.84,-0.80,-0.0500694
1.84,-0.90,-0.0500724
1.84,-1.00,-0.0500927
1.84,0.10,-0.0500592
1.84,0.20,-0.0500916
1.84,0.30,-0.049996
1.84,0.40,-0.0500559
1.84,0.50,-0.0500563
1.84,0.60,-0.0500858
1.84,0.70,-0.0500328
1.84,0.80,-0.0500875
1.84,0.90,-0.0500359
1.84,1.00,-0.0500733
1.86,-0.00,-0.0500088
1.86,-0.10,-0.0500671
1.86,-0.20,-0.0500476
1.86,-0.30,-0.0500709
1.86,-0.40,-0.0500542
1.86,-0.50,-0.0500072
1.86,-0.60,-0.0500436
1.86,-0.70,-0.0500702
1.86,-0.80,-0.0500488
1.86,-0.90,-0.0500438
1.86,-1.00,-0.0500516
1.86,0.10,-0.0500556
1.86,0.20,-0.0500885
1.86,0.30,-0.0500932
1.86,0.40,-0.0500534
1.86,0.50,-0.050055
1.86,0.60,-0.0500847
1.86,0.70,-0.0500316
1.86,0.80,-0.0500861
1.86,0.90,-0.0500355
1.86,1.00,-0.0500729
1.88,-0.00,-0.0500048
1.88,-0.10,-0.0500625
1.88,-0.20,-0.0500422
1.88,-0.30,-0.0500647
1.88,-0.40,-0.0500467
1.88,-0.50,-0.0499979
1.88,-0.60,-0.050032
1.88,-0.70,-0.0500493
1.88,-0.80,-0.0500284
1.88,-0.90,-0.0500152
1.88,-1.00,-0.0500107
1.88,0.10,-0.0500521
1.88,0.20,-0.0500855
1.88,0.30,-0.0500905
1.88,0.40,-0.05005
1.88,0.50,-0.0500518
1.88,0.60,-0.0500826
1.88,0.70,-0.0500304
1.88,0.80,-0.0500854
1.88,0.90,-0.0500345
1.88,1.00,-0.185637
1.90,-0.00,-0.0500008
1.90,-0.10,-0.050058
1.90,-0.20,-0.050037
1.90,-0.30,-0.0500575
1.90,-0.40,-0.0500393
1.90,-0.50,-0.0500889
