lorentzForce,siteDistance,vAve
1.60,-0.10,-0.0249986
1.60,-0.20,-0.0249905
1.60,-0.30,-0.0250179
1.60,-0.40,-0.025079
1.60,-0.50,-0.0250395
1.60,-0.60,-0.0250761
1.60,-0.70,-0.0250785
1.60,-0.80,-0.0250254
1.60,-0.90,-0.0250226
1.60,-1.00,-0.0250123
1.60,-1.10,-0.0250759
1.60,-1.20,-0.0250639
1.60,-1.30,-0.0250499
1.60,-1.40,-0.0250694
1.60,-1.50,-0.0250507
1.60,-1.60,-0.0250302
1.60,-1.70,-0.0250429
1.60,-1.80,-0.0250929
1.60,-1.90,-0.0250233
1.60,-2.00,0.0974768
1.60,0.00,-0.0250719
1.60,0.10,-0.0250748
1.60,0.20,-0.0250531
1.60,0.30,-0.0250118
1.60,0.40,-0.0250201
1.60,0.50,-0.025026
1.60,0.60,-0.0250022
1.60,0.70,-0.0250105
1.60,0.80,-0.0250476
1.60,0.90,-0.0249923
1.60,1.00,-0.024991
1.60,1.10,-0.0250838
1.60,1.20,-0.0250451
1.60,1.30,-0.0250422
1.60,1.40,-0.0250245
1.60,1.50,-0.0250648
1.60,1.60,-0.0250741
1.60,1.70,-0.0250412
1.60,1.80,-0.0250416
1.60,1.90,-0.0268324
1.60,2.00,-0.127498
1.62,-0.10,-0.0250418
1.62,-0.20,-0.025004
1.62,-0.30,-0.0250501
1.62,-0.40,-0.0250758
1.62,-0.50,-0.0250845
1.62,-0.60,-0.0250612
1.62,-0.70,-0.025003
1.62,-0.80,-0.0250736
1.62,-0.90,-0.0250446
1.62,-1.00,-0.0250529
1.62,-1.10,-0.0249932
1.62,-1.20,-0.0250354
1.62,-1.30,-0.0250147
1.62,-1.40,-0.025021
1.62,-1.50,-0.0250258
1.62,-1.60,-0.0250228
1.62,-1.70,-0.0250477
1.62,-1.80,-0.0250044
1.62,-1.90,0.102513
1.62,-2.00,0.0974209
1.62,0.00,-0.0250056
1.62,0.10,-0.025021
1.62,0.20,-0.0250466
1.62,0.30,-0.0250616
1.62,0.40,-0.0250249
1.62,0.50,-0.0250795
1.62,0.60,-0.0250594
1.62,0.70,-0.0250764
1.62,0.80,-0.0250114
1.62,0.90,-0.0250685
1.62,1.00,-0.0250341
1.62,1.10,-0.0250231
1.62,1.20,-0.0250394
1.62,1.30,-0.0250655
1.62,1.40,-0.0250365
1.62,1.50,-0.024981
1.62,1.60,-0.0249848
1.62,1.70,-0.0250702
1.62,1.80,-0.0250635
1.62,1.90,-0.109302
1.62,2.00,-0.199805
1.64,-0.10,-0.0250863
1.64,-0.20,-0.0250786
1.64,-0.30,-0.0250041
1.64,-0.40,-0.0250658
1.64,-0.50,-0.0249917
1.64,-0.60,-0.0250395
1.64,-0.70,-0.0250374
1.64,-0.80,-0.0250645
1.64,-0.90,-0.0250589
1.64,-1.00,-0.0250007
1.64,-1.10,-0.0249972
1.64,-1.20,-0.0250872
1.64,-1.30,-0.025018
1.64,-1.40,-0.0250509
1.64,-1.50,-0.0250668
1.64,-1.60,-0.0250773
1.64,-1.70,-0.025086
1.64,-1.80,0.107415
1.64,-1.90,0.102462
1.64,-2.00,0.0974553
1.64,0.00,-0.0250352
1.64,0.10,-0.0250329
1.64,0.20,-0.0250415
1.64,0.30,-0.0250812
1.64,0.40,-0.0249918
1.64,0.50,-0.0250775
1.64,0.60,-0.0250432
1.64,0.70,-0.024998
1.64,0.80,-0.0249935
1.64,0.90,-0.0250845
1.64,1.00,-0.0250584
1.64,1.10,-0.024986
1.64,1.20,-0.0250604
1.64,1.30,-0.0250045
1.64,1.40,-0.0250825
1.64,1.50,-0.0249938
1.64,1.60,-0.0250718
1.64,1.70,-0.183994
