lorentzForce,siteDistance,vAve,,
1.6,-0.1,0.050079247,,
1.6,-0.2,0.049992486,,
1.6,-0.3,0.050013048,,
1.6,-0.4,0.049931149,,
1.6,-0.5,0.049947064,,
1.6,-0.6,0.049958523,,
1.6,-0.7,0.050055906,,
1.6,-0.8,0.050043041,,
1.6,-0.9,0.049913545,,
1.6,-1,0.049968489,,
1.6,-1.1,0.050002863,,
1.6,-1.2,0.050010431,,
1.6,-1.3,0.050013652,,
1.6,-1.4,0.049926549,,
1.6,-1.5,0.050066377,,
1.6,-1.6,0.050004246,,
1.6,-1.7,0.049927511,,
1.6,-1.8,0.049976809,,
1.6,-1.9,0.050019684,,
1.6,-2,0.050049265,,
1.6,0,0.050069195,,
1.6,0.1,0.049967183,,
1.6,0.2,0.049976227,,
1.6,0.3,0.049993305,,
1.6,0.4,0.050032667,,
1.6,0.5,0.049984574,,
1.6,0.6,0.050060294,,
1.6,0.7,0.04996583,,
1.6,0.8,0.049998116,,
1.6,0.9,0.049961325,,
1.6,1,0.049962339,,
1.6,1.1,0.05000449,,
1.6,1.2,0.049977483,,
1.6,1.3,0.049977033,,
1.6,1.4,0.049989401,,
1.6,1.5,0.049971052,,
1.6,1.6,0.050083494,,
1.6,1.7,0.049918659,,
1.6,1.8,0.050024275,,
1.6,1.9,0.05003013,,
1.6,2,0.050033511,,
1.62,-0.1,0.050064982,,
1.62,-0.2,0.049977505,,
1.62,-0.3,0.050092198,,
1.62,-0.4,0.049913919,,
1.62,-0.5,0.049928056,,
1.62,-0.6,0.050038825,,
1.62,-0.7,0.050039473,,
1.62,-0.8,0.050019875,,
1.62,-0.9,0.049988702,,
1.62,-1,0.049940485,,
1.62,-1.1,0.050073408,,
1.62,-1.2,0.049977827,,
1.62,-1.3,0.049978488,,
1.62,-1.4,0.05008506,,
1.62,-1.5,0.050025798,,
1.62,-1.6,0.049951311,,
1.62,-1.7,0.049970383,,
1.62,-1.8,0.05002223,,
1.62,-1.9,0.04996194,,
1.62,-2,0.049987683,,
1.62,0,0.050055749,,
1.62,0.1,0.050049781,,
1.62,0.2,0.04996385,,
1.62,0.3,0.049981789,,
1.62,0.4,0.050016752,,
1.62,0.5,0.049974065,,
1.62,0.6,0.049950028,,
1.62,0.7,0.050056028,,
1.62,0.8,0.050083111,,
1.62,0.9,0.049952262,,
1.62,1,0.049953882,,
1.62,1.1,0.049996388,,
1.62,1.2,0.049970175,,
1.62,1.3,0.049962628,,
1.62,1.4,0.049983339,,
1.62,1.5,0.050064691,,
1.62,1.6,0.050078424,,
1.62,1.7,0.050015706,,
1.62,1.8,0.050021869,,
1.62,1.9,0.050030453,,
1.62,2,0.05004326,,
1.64,-0.1,0.050046003,,
1.64,-0.2,0.049962773,,
1.64,-0.3,0.050076636,,
