time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,1,-0.0180164,1,-0.0180165,1,-0.0180165,1,0.0180164,1,0.0180165,1,0.0180165
0.002,0.9995,0.0180256,0.9995,0.0180255,0.9995,0.0180255,0.9995,-0.0180256,0.9995,-0.0180255,0.9995,-0.0180255
0.003,0.9985,0.0180256,0.9985,0.0180255,0.9985,0.0180255,0.9985,-0.0180256,0.9985,-0.0180255,0.9985,-0.0180255
0.004,0.997501,-0.0180254,0.997501,-0.0180255,0.997501,-0.0180255,0.997501,0.0180254,0.997501,0.0180255,0.997501,0.0180255
0.005,0.996503,-0.0180254,0.996503,-0.0180255,0.996503,-0.0180255,0.996503,0.0180254,0.996503,0.0180255,0.996503,0.0180255
0.006,0.995506,0.0180256,0.995506,0.0180255,0.995506,0.0180255,0.995506,-0.0180256,0.995506,-0.0180255,0.995506,-0.0180255
0.007,0.99451,0.0180256,0.99451,0.0180255,0.99451,0.0180255,0.99451,-0.0180256,0.99451,-0.0180255,0.99451,-0.0180255
0.008,0.993515,-0.0180254,0.993515,-0.0180255,0.993515,-0.0180255,0.993515,0.0180254,0.993515,0.0180255,0.993515,0.0180255
0.009,0.992521,-0.0180254,0.992521,-0.0180255,0.992521,-0.0180255,0.992521,0.0180254,0.992521,0.0180255,0.992521,0.0180255
0.01,0.991528,0.0180256,0.991528,0.0180255,0.991528,0.0180255,0.991528,-0.0180256,0.991528,-0.0180255,0.991528,-0.0180255
0.011,0.990536,0.0180256,0.990536,0.0180255,0.990536,0.0180255,0.990536,-0.0180256,0.990536,-0.0180255,0.990536,-0.0180255
0.012,0.989545,-0.0180254,0.989545,-0.0180255,0.989545,-0.0180255,0.989545,0.0180254,0.989545,0.0180255,0.989545,0.0180255
0.013,0.988555,-0.0180254,0.988555,-0.0180255,0.988555,-0.0180255,0.988555,0.0180254,0.988555,0.0180255,0.988555,0.0180255
0.014,0.987566,0.0180256,0.987566,0.0180255,0.987566,0.0180255,0.987566,-0.0180256,0.987566,-0.0180255,0.987566,-0.0180255
0.015,0.986578,0.0180256,0.986578,0.0180255,0.986578,0.0180255,0.986578,-0.0180256,0.986578,-0.0180255,0.986578,-0.0180255
0.016,0.985591,-0.0180254,0.985591,-0.0180255,0.985591,-0.0180255,0.985591,0.0180254,0.985591,0.0180255,0.985591,0.0180255
