x1,y1,r1,x2,y2,r2,x3,y3,r3,x4,y4,r4,x5,y5,r5,x6,y6,r6,
2.5,2.6,1.5,7.5,2.6,1,13.5,2.6,0.5,2.5,7.8,1.5,7.5,7.8,1,13.5,7.8,0.5,
time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
0,1.5,2.59808,7.5,2.59808,13.5,2.59808,1.5,7.79423,7.5,7.79423,13.5,7.79423
0.001,1.5,2.59808,7.5,2.59808,13.5,2.59808,1.5,7.79423,7.5,7.79423,13.5,7.79423
0.002,1.5,2.59808,7.5,2.59808,13.5,2.59808,1.5,7.79423,7.5,7.79423,13.5,7.79423
0.003,1.5,2.59808,7.5,2.59808,13.5,2.59808,1.5,7.79423,7.5,7.79423,13.5,7.79423
0.004,1.50001,2.59808,7.50001,2.59808,13.5,2.59808,1.50001,7.79423,7.50001,7.79423,13.5,7.79423
0.005,1.50001,2.59808,7.50001,2.59808,13.5,2.59808,1.50001,7.79423,7.50001,7.79423,13.5,7.79423
0.006,1.50001,2.59808,7.50001,2.59808,13.5,2.59808,1.50001,7.79423,7.50001,7.79423,13.5,7.79423
0.007,1.50002,2.59808,7.50002,2.59808,13.5,2.59808,1.50002,7.79423,7.50002,7.79423,13.5,7.79423
0.008,1.50003,2.59808,7.50003,2.59808,13.5,2.59808,1.50003,7.79423,7.50003,7.79423,13.5,7.79423
0.009,1.50004,2.59808,7.50004,2.59808,13.5,2.59808,1.50004,7.79423,7.50004,7.79423,13.5,7.79423
0.01,1.50004,2.59808,7.50004,2.59808,13.5,2.59808,1.50004,7.79423,7.50004,7.79423,13.5,7.79423
0.011,1.50005,2.59808,7.50005,2.59808,13.5001,2.59808,1.50005,7.79423,7.50005,7.79423,13.5001,7.79423
0.012,1.50007,2.59808,7.50007,2.59808,13.5001,2.59808,1.50007,7.79423,7.50007,7.79423,13.5001,7.79423
0.013,1.50008,2.59808,7.50008,2.59808,13.5001,2.59808,1.50008,7.79423,7.50008,7.79423,13.5001,7.79423
0.014,1.50009,2.59808,7.50009,2.59808,13.5001,2.59808,1.50009,7.79423,7.50009,7.79423,13.5001,7.79423
0.015,1.5001,2.59808,7.5001,2.59808,13.5001,2.59808,1.5001,7.79423,7.5001,7.79423,13.5001,7.79423
0.016,1.50012,2.59808,7.50012,2.59808,13.5001,2.59808,1.50012,7.79423,7.50012,7.79423,13.5001,7.79423
0.017,1.50014,2.59808,7.50014,2.59808,13.5001,2.59808,1.50014,7.79423,7.50014,7.79423,13.5001,7.79423
0.018,1.50015,2.59808,7.50015,2.59808,13.5002,2.59808,1.50015,7.79423,7.50015,7.79423,13.5002,7.79423
0.019,1.50017,2.59808,7.50017,2.59808,13.5002,2.59808,1.50017,7.79423,7.50017,7.79423,13.5002,7.79423
0.02,1.50019,2.59808,7.50019,2.59808,13.5002,2.59808,1.50019,7.79423,7.50019,7.79423,13.5002,7.79423
0.021,1.50021,2.59808,7.50021,2.59808,13.5002,2.59808,1.50021,7.79423,7.50021,7.79423,13.5002,7.79423
0.022,1.50023,2.59808,7.50023,2.59808,13.5002,2.59808,1.50023,7.79423,7.50023,7.79423,13.5002,7.79423
