time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0.0005,-9.00821e-06,0.0005,-9.00824e-06,0.0005,-9.00824e-06,0.0005,9.00821e-06,0.0005,9.00824e-06,0.0005,9.00824e-06
0.002,0.00149975,-9.00364e-06,0.00149975,-9.00373e-06,0.00149975,-9.00374e-06,0.00149975,9.00364e-06,0.00149975,9.00373e-06,0.00149975,9.00374e-06
0.003,0.00249875,9.02192e-06,0.00249875,9.02178e-06,0.00249875,9.02176e-06,0.00249875,-9.02193e-06,0.00249875,-9.02178e-06,0.00249875,-9.02176e-06
0.004,0.00349675,9.02198e-06,0.00349675,9.02178e-06,0.00349675,9.02175e-06,0.00349675,-9.02199e-06,0.00349675,-9.02178e-06,0.00349675,-9.02175e-06
0.005,0.00449375,-9.00347e-06,0.00449375,-9.00372e-06,0.00449375,-9.00376e-06,0.00449375,9.00346e-06,0.00449375,9.00372e-06,0.00449375,9.00376e-06
0.006,0.00548976,-9.00341e-06,0.00548976,-9.00372e-06,0.00548976,-9.00377e-06,0.00548976,9.0034e-06,0.00548976,9.00372e-06,0.00548976,9.00377e-06
0.007,0.00648477,9.02215e-06,0.00648476,9.02179e-06,0.00648477,9.02173e-06,0.00648477,-9.02217e-06,0.00648476,-9.02179e-06,0.00648477,-9.02173e-06
0.008,0.00747878,9.02221e-06,0.00747878,9.02179e-06,0.00747878,9.02172e-06,0.00747878,-9.02223e-06,0.00747878,-9.02179e-06,0.00747878,-9.02172e-06
0.009,0.0084718,-9.00324e-06,0.00847179,-9.00371e-06,0.0084718,-9.00379e-06,0.0084718,9.00322e-06,0.00847179,9.00371e-06,0.0084718,9.00379e-06
0.01,0.00946382,-9.00318e-06,0.00946382,-9.00371e-06,0.00946382,-9.0038e-06,0.00946382,9.00316e-06,0.00946382,9.00371e-06,0.00946382,9.0038e-06
0.011,0.0104549,9.02238e-06,0.0104549,9.02179e-06,0.0104549,9.0217e-06,0.0104549,-9.0224e-06,0.0104549,-9.02179e-06,0.0104549,-9.0217e-06
0.012,0.0114449,9.02244e-06,0.0114449,9.02179e-06,0.0114449,9.02169e-06,0.0114449,-9.02246e-06,0.0114449,-9.02179e-06,0.0114449,-9.02169e-06
0.013,0.0124339,-9.00301e-06,0.0124339,-9.00371e-06,0.0124339,-9.00382e-06,0.0124339,9.00298e-06,0.0124339,9.00371e-06,0.0124339,9.00382e-06
0.014,0.013422,-9.00296e-06,0.013422,-9.00371e-06,0.013422,-9.00383e-06,0.013422,9.00292e-06,0.013422,9.00371e-06,0.013422,9.00383e-06
0.015,0.0144091,9.02261e-06,0.0144091,9.0218e-06,0.0144091,9.02167e-06,0.0144091,-9.02264e-06,0.0144091,-9.0218e-06,0.0144091,-9.02167e-06
0.016,0.0153952,9.02266e-06,0.0153952,9.0218e-06,0.0153952,9.02166e-06,0.0153952,-9.0227e-06,0.0153952,-9.0218e-06,0.0153952,-9.02166e-06
0.017,0.0163803,-9.00279e-06,0.0163803,-9.0037e-06,0.0163803,-9.00385e-06,0.0163803,9.00275e-06,0.0163803,9.0037e-06,0.0163803,9.00385e-06
0.018,0.0173644,-9.00273e-06,0.0173644,-9.0037e-06,0.0173644,-9.00386e-06,0.0173644,9.00269e-06,0.0173644,9.0037e-06,0.0173644,9.00386e-06
0.019,0.0183475,9.02283e-06,0.0183475,9.0218e-06,0.0183475,9.02164e-06,0.0183475,-9.02288e-06,0.0183475,-9.0218e-06,0.0183475,-9.02164e-06
0.02,0.0193296,9.02289e-06,0.0193296,9.02181e-06,0.0193296,9.02163e-06,0.0193296,-9.02293e-06,0.0193296,-9.0218e-06,0.0193296,-9.02163e-06
0.021,0.0203108,-9.00256e-06,0.0203108,-9.0037e-06,0.0203108,-9.00388e-06,0.0203108,9.00251e-06,0.0203108,9.0037e-06,0.0203108,9.00388e-06
0.022,0.021291,-9.0025e-06,0.021291,-9.0037e-06,0.021291,-9.00389e-06,0.021291,9.00245e-06,0.021291,9.0037e-06,0.021291,9.00389e-06
0.023,0.0222702,9.02306e-06,0.0222702,9.02181e-06,0.0222702,9.02161e-06,0.0222702,-9.02311e-06,0.0222702,-9.02181e-06,0.0222702,-9.02161e-06
0.024,0.0232484,9.02311e-06,0.0232484,9.02181e-06,0.0232484,9.0216e-06,0.0232484,-9.02317e-06,0.0232484,-9.02181e-06,0.0232484,-9.0216e-06
0.025,0.0242256,-9.00234e-06,0.0242256,-9.00369e-06,0.0242256,-9.00391e-06,0.0242256,9.00228e-06,0.0242256,9.00369e-06,0.0242256,9.00391e-06
0.026,0.0252019,-9.00228e-06,0.0252019,-9.00369e-06,0.0252019,-9.00392e-06,0.0252019,9.00222e-06,0.0252019,9.00369e-06,0.0252019,9.00392e-06
0.027,0.0261772,9.02328e-06,0.0261772,9.02181e-06,0.0261772,9.02157e-06,0.0261772,-9.02334e-06,0.0261772,-9.02181e-06,0.0261772,-9.02158e-06
0.028,0.0271515,9.02334e-06,0.0271515,9.02182e-06,0.0271515,9.02157e-06,0.0271515,-9.0234e-06,0.0271515,-9.02181e-06,0.0271515,-9.02157e-06
0.029,0.0281248,-9.00211e-06,0.0281248,-9.00369e-06,0.0281248,-9.00394e-06,0.0281248,9.00204e-06,0.0281248,9.00369e-06,0.0281248,9.00394e-06
0.03,0.0290972,-9.00206e-06,0.0290972,-9.00369e-06,0.0290972,-9.00395e-06,0.0290972,9.00199e-06,0.0290972,9.00369e-06,0.0290972,9.00395e-06
0.031,0.0300686,9.0235e-06,0.0300686,9.02182e-06,0.0300686,9.02154e-06,0.0300686,-9.02358e-06,0.0300686,-9.02182e-06,0.0300686,-9.02155e-06
0.032,0.031039,9.02356e-06,0.031039,9.02182e-06,0.031039,9.02154e-06,0.031039,-9.02363e-06,0.031039,-9.02182e-06,0.031039,-9.02154e-06
